diputado_id,diputado_nombre,modal_party,modal_party_share,modal_caucus,modal_caucus_share,modal_alignment,modal_alignment_share,specs_estimated,baseline_coord_aligned,baseline_z,baseline_binary_votes,max_abs_z_shift_from_baseline,sd_z_across_specs,min_rank,max_rank,rank_range,coord_raw_lop025,z_raw_lop025,rank_raw_lop025,coord_raw_lop050,z_raw_lop050,rank_raw_lop050,coord_raw_lop100,z_raw_lop100,rank_raw_lop100,coord_dedup_lop025,z_dedup_lop025,rank_dedup_lop025,coord_cap20_balanced_lop025,z_cap20_balanced_lop025,rank_cap20_balanced_lop025,coord_cap10_balanced_lop025,z_cap10_balanced_lop025,rank_cap10_balanced_lop025
1201,Flor Contreras Vivallo,Partido de la Gente,1.0,Comité Partido de la Gente,1.0,no_alineado,1.0,6,-0.0715738758444786,0.17409531672625647,261,0.1698548436377906,0.08125921773746222,82,85,3,-0.0715738758444786,0.17409531672625647,84,-0.101494334638119,0.15716227980572484,84,-0.115524381399155,0.12631087863404047,84,-0.0749665945768356,0.17262931292762626,82,0.15682016313076,0.3062478063887553,82,0.114781491458416,0.3439501603640471,85
1264,Fernando Zamorano Peralta,Partido Por la Democracia,1.0,Partido Por la Democracia e Independientes,1.0,oposicion,1.0,6,0.401796698570251,0.8210884338231526,255,0.16811816547571934,0.06119484139504858,106,111,5,0.401796698570251,0.8210884338231526,111,0.364404827356339,0.7974650125913028,111,0.315422028303146,0.7368489542424994,111,0.393892884254456,0.8149656115021836,111,0.449573874473572,0.7106697671752005,107,0.32511955499649,0.6529702683474332,106
1211,Sofía González Cortés,Partido Comunista,1.0,Comité Comunista e Independientes,1.0,oposicion,1.0,6,1.0,1.6387003420584954,265,0.16764939326672357,0.07425458345749948,152,154,2,1.0,1.6387003420584954,154,1.0,1.6709873521612084,154,1.0,1.7067164552444636,154,1.0,1.6453308250585958,154,1.0,1.4710509487917718,152,0.988475859165192,1.6275463070232203,152
1193,Patricio Briones Moller,Partido de la Gente,1.0,Comité Partido de la Gente,1.0,no_alineado,1.0,6,-0.0763376653194427,0.16758426773380247,262,0.16345036108529643,0.08218526775986043,83,85,2,-0.0763376653194427,0.16758426773380247,83,-0.106402277946472,0.15041710881369694,83,-0.119852989912033,0.12017837526003496,83,-0.0682032257318497,0.1818951111164818,84,0.165395095944405,0.31809356959428287,85,0.105990387499332,0.3310346288190989,84
1077,Raúl Soto Mardones,Partido Por la Democracia,1.0,Partido Por la Democracia e Independientes,1.0,oposicion,1.0,6,0.402703404426575,0.8223277006470322,237,0.15928882532881616,0.05772752133338162,108,112,4,0.402703404426575,0.8223277006470322,112,0.368005514144897,0.8024135718047364,112,0.317957550287247,0.7404411241225208,112,0.394655048847198,0.8160097750639972,112,0.458218783140182,0.722612197888491,109,0.331972867250443,0.663038875318216,108
1226,José Montalva Feuerhake,Independientes,1.0,Partido Por la Democracia e Independientes,1.0,oposicion,1.0,6,0.370998173952103,0.7789936469443569,263,0.15789839055439792,0.05816793876609223,102,109,7,0.370998173952103,0.7789936469443569,109,0.335111200809479,0.757205680398347,109,0.278523147106171,0.6845729138557868,109,0.361880242824554,0.7711083738178052,109,0.424368500709534,0.6758500320700463,102,0.303423464298248,0.621095256389959,102
1250,Bernardo Salinas Maya,Independientes,1.0,Comité Comunista e Independientes,1.0,oposicion,1.0,6,0.921666145324707,1.5316352485569715,212,0.15717169933320818,0.07691442603011435,144,154,10,0.921666145324707,1.5316352485569715,147,0.99611622095108,1.6656497286121272,153,0.987358629703522,1.6888069478901797,153,0.919236779212952,1.5346854171196878,147,1.0,1.4710509487917718,154,0.94871574640274,1.5691323702748656,144
1012,Boris Barrera Moreno,Partido Comunista,1.0,Comité Comunista e Independientes,1.0,oposicion,1.0,6,0.991220951080322,1.6267013194476976,267,0.1556503706559258,0.06466606443728122,142,152,10,0.991220951080322,1.6267013194476976,152,0.986379981040955,1.6522688480910688,149,0.970765292644501,1.6652985397729485,147,0.990867137908936,1.6328188271235453,152,1.0,1.4710509487917718,142,0.967462122440338,1.5966737817055505,146
1173,Daniela Serrano Salazar,Partido Comunista,1.0,Comité Comunista e Independientes,1.0,oposicion,1.0,6,0.991220951080322,1.6267013194476976,267,0.1556503706559258,0.06466606443728122,147,153,6,0.991220951080322,1.6267013194476976,153,0.986379981040955,1.6522688480910688,150,0.970765292644501,1.6652985397729485,148,0.990867137908936,1.6328188271235453,153,1.0,1.4710509487917718,149,0.967462122440338,1.5966737817055505,147
1061,Andrea Parra Sauterel,Partido Por la Democracia,1.0,Partido Por la Democracia e Independientes,1.0,oposicion,1.0,6,0.397401720285416,0.8150814683424732,252,0.15493266708233067,0.05807472825153135,106,110,4,0.397401720285416,0.8150814683424732,110,0.362658321857452,0.7950647244281408,110,0.313868135213852,0.7346474951397441,110,0.389636039733887,0.8091337452898051,110,0.443996608257294,0.7029651033174164,106,0.330005705356598,0.6601488012601425,107
