vote_id,diputado_id,diputado_nombre,opcion,opcion_codigo
89070,1116,Felipe Camaño Cárdenas,Afirmativo,1
89070,1117,Nathalie Castillo Rojas,No Vota,4
89070,1119,Sara Concha Smith,Afirmativo,1
89070,1122,Luis Alberto Cuello Peña y Lillo,No Vota,4
89070,1127,Lorena Fries Monleón,Afirmativo,1
89070,1128,Ana María Gazmuri Vieira,Afirmativo,1
89070,1131,Mauro González Villarroel,No Vota,4
89070,1132,Jorge Guzmán Zepeda,Afirmativo,1
89070,1133,Juan Irarrázaval Rossel,Afirmativo,1
89070,1140,Daniel Lilayu Vivanco,Afirmativo,1
89070,1141,Luis Malla Valenzuela,Afirmativo,1
89070,1142,Daniel Manouchehri Lobos,Afirmativo,1
89070,1143,Cristóbal Martínez Ramírez,Afirmativo,1
89070,1146,José Carlos Meza Pereira,Afirmativo,1
89070,1148,Javiera Morales Alvarado,No Vota,4
89070,1150,Benjamín Moreno Bascur,Afirmativo,1
89070,1152,Gloria Naveillan Arriagada,Afirmativo,1
89070,1153,Coca Ericka Ñanco Vásquez,No Vota,4
89070,1157,Marlene Pérez Cartes,Afirmativo,1
89070,1159,Lorena Pizarro Sierra,Afirmativo,1
89070,1165,Agustín Romero Leiva,No Vota,4
89070,1166,Natalia Romero Talguia,Afirmativo,1
89070,1170,Luis Sánchez Ossa,Afirmativo,1
89070,1171,Emilia Schneider Videla,Afirmativo,1
89070,1172,Stephan Schubert Rubio,Afirmativo,1
89070,1173,Daniela Serrano Salazar,Afirmativo,1
89070,1174,Marco Antonio Sulantay Olivares,Afirmativo,1
89070,1175,Cristián Tapia Ramos,Afirmativo,1
89070,1176,Hotuiti Teao Drago,Afirmativo,1
89070,1177,Carolina Tello Rojas,Afirmativo,1
89070,1178,Héctor Ulloa Aguilera,Afirmativo,1
89070,1180,Consuelo Veloso Ávila,Afirmativo,1
89070,1181,Nelson Venegas Salazar,No Vota,4
89070,1182,Sebastián Videla Castillo,Afirmativo,1
89070,1183,Flor Weisse Novoa,Afirmativo,1
89070,1184,Roberto Celedón Fernández,Afirmativo,1
89070,1186,Ignacio Achurra Díaz,Afirmativo,1
89070,1187,Carlo Arqueros Pizarro,Afirmativo,1
89070,1188,Marcos Barraza Gómez,Afirmativo,1
89070,1189,Jaime Bassa Mercado,Afirmativo,1
89070,1190,Enrique Bassaletti Riess,Afirmativo,1
89070,1191,Valentina Becerra Peña,No Vota,4
89070,1192,Lilian Betancurt Delgado,Afirmativo,1
89070,1193,Patricio Briones Moller,Afirmativo,1
89070,1194,Daniel Bustos Leal,Afirmativo,1
89070,1195,Carlos Carvajal Gallardo,Afirmativo,1
89070,1196,Priscilla Castillo Gerli,Afirmativo,1
89070,1197,Carlos Chandía Alarcón,Afirmativo,1
89070,1198,Paz Charpentier Rajcevich,Afirmativo,1
89070,1199,Jaime Coloma Álamos,Afirmativo,1
89070,1200,Cristian Contreras Radovic,Afirmativo,1
89070,1201,Flor Contreras Vivallo,Afirmativo,1
89070,1202,Eduardo Cretton Rebolledo,Afirmativo,1
89070,1203,Sebastián Cristoffanini Jaraquemada,Afirmativo,1
89070,1204,Francisco Crisóstomo Llanos,Afirmativo,1
89070,1205,Carlos Cuadrado Prats,Afirmativo,1
89070,1206,Carolina Cucumides Calderón,Afirmativo,1
89070,1207,Valentina Cáceres Monsálvez,Afirmativo,1
89070,1208,Jorge Díaz Ibarra,Afirmativo,1
89070,1209,Matías Fernández Hartwig,Afirmativo,1
89070,1210,Gustavo Gatica Villarroel,No Vota,4
89070,1211,Sofía González Cortés,Afirmativo,1
89070,1212,Erich Grohs Marín,Afirmativo,1
89070,1213,Irací Hassler Jacob,Afirmativo,1
89070,1214,Constanza Hube Portus,Afirmativo,1
89070,1215,Álvaro Jofré Cáceres,Afirmativo,1
89070,1216,Stephanie Jéldrez Ortiz,Afirmativo,1
89070,1217,Pier Karlezi Hazleby,Afirmativo,1
89070,1218,José Antonio Kast Adriasola,Afirmativo,1
89070,1219,Tomás Kast Sommerhoff,Afirmativo,1
89070,1220,Leandro Kunstmann Collado,Afirmativo,1
89070,1221,Benjamín Lorca Inzunza,Afirmativo,1
89070,1222,Andrea Macías Palma,No Vota,4
89070,1223,Hans Marowski Cuevas,Afirmativo,1
89070,1224,Cristian Mella Andaur,Afirmativo,1
89070,1225,Cristian Menchaca Pinochet,Afirmativo,1
89070,1226,José Montalva Feuerhake,Afirmativo,1
89070,1227,Claudia Mora Vega,Afirmativo,1
89070,1228,Paulina Muñoz Minte,Afirmativo,1
89070,1229,Javier Muñoz Riquelme,Afirmativo,1
89070,1230,Alex Nahuelquin Nahuelquin,Afirmativo,1
89070,1231,Ximena Naranjo Pinto,Afirmativo,1
89070,1232,Cristian Neira Martínez,Afirmativo,1
89070,1233,Ricardo Neumann Bertín,Afirmativo,1
89070,1234,Mario Olavarría Rodríguez,Afirmativo,1
89070,1235,Javier Olivares Avendaño,Afirmativo,1
89070,1236,Paula Olmos Contreras,Afirmativo,1
89070,1237,Francisco Orrego Gutiérrez,Afirmativo,1
89070,1238,Álvaro Ortiz Vera,Afirmativo,1
89070,1239,Fabián Ossandón Briceño,Afirmativo,1
89070,1240,Zandra Parisi Fernández,Afirmativo,1
89070,1241,Patricio Pinilla Valencia,Afirmativo,1
89070,1242,Rodrigo Ramírez Parra,Afirmativo,1
89070,1243,Tamara Ramírez Ramírez,Afirmativo,1
89070,1244,Claudia Reyes Larenas,Afirmativo,1
89070,1245,Alejandro Riquelme Ducci,Afirmativo,1
89070,1246,José Antonio Rivas Villalobos,No Vota,4
89070,1247,Javiera Rodríguez Pascual,Afirmativo,1
89070,1248,Felipe Ross Correa,Afirmativo,1
89070,1249,Omar Sabat Guzmán,Afirmativo,1
89070,1250,Bernardo Salinas Maya,Afirmativo,1
89070,1251,Macarena Santelices Cañas,Afirmativo,1
89070,1252,Constanza Schonhaut Soto,Afirmativo,1
89070,1253,Fernando Ugarte Tejeda,Afirmativo,1
89070,1254,Ignacio Urcullú Clèment-Lund,Afirmativo,1
89070,1255,Eileen Urqueta Rojas,Afirmativo,1
89070,1256,Tatiana Urrutia Herrera,Afirmativo,1
89070,1257,Alejandra Valdebenito Torres,No Vota,4
89070,1258,Guillermo Valdés Carmona,Afirmativo,1
89070,1259,Juan Marcelo Valenzuela Henríquez,Afirmativo,1
89070,1260,César Valenzuela Maass,Afirmativo,1
89070,1261,Daniel Valenzuela Salazar,Afirmativo,1
89070,1262,Diego Vergara Rodríguez,Afirmativo,1
89070,1263,Sebastián Zamora Soto,Afirmativo,1
89070,1264,Fernando Zamorano Peralta,Afirmativo,1
