vote_id,boletin,fecha,topic_primary,topic_secondary,topic_method,topic_confidence,topic_source_layer,taxonomy_version,tipo_votacion_proyecto,resultado
88810,14309-04,2026-05-11,Educación,Economía y hacienda,institucional_destinacion,0.97,inherited_rollcall_project,institutional-hybrid-v0.3,Única,Aprobado
88811,14309-04,2026-05-11,Educación,Economía y hacienda,institucional_destinacion,0.97,inherited_rollcall_project,institutional-hybrid-v0.3,Única,Aprobado
88812,14309-04,2026-05-11,Educación,Economía y hacienda,institucional_destinacion,0.97,inherited_rollcall_project,institutional-hybrid-v0.3,Única,Unánime
88813,14309-04,2026-05-11,Educación,Economía y hacienda,institucional_destinacion,0.97,inherited_rollcall_project,institutional-hybrid-v0.3,Única,Unánime
88826,17112-19,2026-05-12,Ciencia y tecnología,,institucional_destinacion,0.97,inherited_rollcall_project,institutional-hybrid-v0.3,General,Unánime
88869,18215-10,2026-05-13,Relaciones exteriores,,institucional_destinacion,0.97,period_project,institutional-hybrid-v0.3,Única,Aprobado
88870,18155-25,2026-05-13,Seguridad,Constitución y justicia,institucional_destinacion,0.97,period_project,institutional-hybrid-v0.3,General,Aprobado
88871,18155-25,2026-05-13,Seguridad,Constitución y justicia,institucional_destinacion,0.97,period_project,institutional-hybrid-v0.3,Particular,Aprobado
88872,15258-25,2026-05-13,Seguridad,,institucional_destinacion,0.97,inherited_rollcall_project,institutional-hybrid-v0.3,General,Aprobado
88881,18232-25,2026-05-18,Seguridad,,institucional_destinacion,0.97,period_project,institutional-hybrid-v0.3,General,Aprobado
88893,18216-05,2026-05-20,Economía y hacienda,Trabajo y seguridad social | Desarrollo social | Infraestructura y obras públicas,revision_semantica,0.91,period_project,institutional-hybrid-v0.3,General,Aprobado
88894,18216-05,2026-05-20,Economía y hacienda,Trabajo y seguridad social | Desarrollo social | Infraestructura y obras públicas,revision_semantica,0.91,period_project,institutional-hybrid-v0.3,General,Aprobado
88895,18216-05,2026-05-20,Economía y hacienda,Trabajo y seguridad social | Desarrollo social | Infraestructura y obras públicas,revision_semantica,0.91,period_project,institutional-hybrid-v0.3,Particular,Aprobado
88896,18216-05,2026-05-20,Economía y hacienda,Trabajo y seguridad social | Desarrollo social | Infraestructura y obras públicas,revision_semantica,0.91,period_project,institutional-hybrid-v0.3,Particular,Aprobado
88897,18216-05,2026-05-20,Economía y hacienda,Trabajo y seguridad social | Desarrollo social | Infraestructura y obras públicas,revision_semantica,0.91,period_project,institutional-hybrid-v0.3,Particular,Aprobado
88898,18216-05,2026-05-20,Economía y hacienda,Trabajo y seguridad social | Desarrollo social | Infraestructura y obras públicas,revision_semantica,0.91,period_project,institutional-hybrid-v0.3,Particular,Aprobado
