boletin,titulo,origen_iniciativa,codigo_destinacion,comision_destino_sufijo,comision_origen_evento,comision_origen_proxy,origin_proxy_source,origin_proxy_mismatch,tema_proxy_origen,materia_pagina,materias_oficiales,comisiones_tramitacion,temas_proxy_trayectoria,comisiones_sustantivas,ministerios,text_quality,signal_strength,review_reason,origin_evidence_event
18501-10,"Aprueba el Acuerdo de alcance parcial entre la República de Chile y la República de Trinidad y Tobago, adoptado mediante suscripción virtual, el 25 de abril de 2025",ejecutivo,10,Relaciones Exteriores,,Relaciones Exteriores,sufijo_boletin,0,Relaciones exteriores,,,Relaciones Exteriores,Relaciones exteriores,Relaciones Exteriores,Ministerio de Hacienda | Ministerio de Relaciones Exteriores,rica,alta,,
18518-06,Modifica aspectos procesales en el otorgamiento de pensiones de gracia,parlamentario,06,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",sufijo_boletin,0,Gobierno interior y descentralización,,,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,rica,alta,,
18519-13,Establece un permiso laboral ante situaciones de emergencia o catástrofe declarada por la autoridad,parlamentario,13,Trabajo y Seguridad Social,,Trabajo y Seguridad Social,sufijo_boletin,0,Trabajo y seguridad social,,,Trabajo y Seguridad Social,Trabajo y seguridad social,Trabajo y Seguridad Social,,rica,alta,,
18520-07,Modifica la Constitución Política en cuanto a la regulación del pago de dieta y asignaciones a congresistas desaforados,parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18531-03,Crea un marco de protección de activos estratégicos para la seguridad nacional y económica del país,parlamentario,03,"Economía, Fomento, MIPYMES, Consumidores y Turismo",,"Economía, Fomento, MIPYMES, Consumidores y Turismo",sufijo_boletin,0,"Economía, comercio y consumidores",,,"Economía, Fomento, MIPYMES, Consumidores y Turismo | Defensa Nacional","Economía, comercio y consumidores | Defensa","Economía, Fomento, MIPYMES, Consumidores y Turismo | Defensa Nacional",,utilizable,alta,trayectoria_multitematica,
18527-04,"Modifica la ley N°21.091, sobre educación superior, para que los establecimientos promuevan la inserción laboral y empleabilidad de sus egresados",parlamentario,04,Educación,,Educación,sufijo_boletin,0,Educación,,,Educación,Educación,Educación,,rica,alta,,
18528-01,"Modifica la ley N°21.020, sobre tenencia responsable de mascotas y animales de compañía, para agravar las penas por abandonar animales en zonas rurales",parlamentario,01,"Agricultura, Silvicultura y Desarrollo Rural",,"Agricultura, Silvicultura y Desarrollo Rural",sufijo_boletin,0,Agricultura y mundo rural,,,"Agricultura, Silvicultura y Desarrollo Rural",Agricultura y mundo rural,"Agricultura, Silvicultura y Desarrollo Rural",,rica,alta,,
18530-02,Modifica las sanciones a los delitos de espionaje y protege la información estratégica del Estado,parlamentario,02,Defensa Nacional,,Defensa Nacional,sufijo_boletin,0,Defensa,,,Defensa Nacional,Defensa,Defensa Nacional,,rica,alta,,
18532-06,Rehabilita la nacionalidad chilena a Adolfo José Ochagavía Hubner,parlamentario,06,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",sufijo_boletin,0,Gobierno interior y descentralización,,,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,rica,alta,,
18533-07,"Sanciona la difusión pública de instrucciones para el abuso y la explotación sexual de niños, niñas y adolescentes y la apología de tales delitos",parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18622-24,Establece requisitos de elegibilidad para el acceso a fondos públicos destinados a actividades culturales y artísticas,parlamentario,24,"Cultura, Artes y Comunicaciones",,"Cultura, Artes y Comunicaciones",sufijo_boletin,0,Cultura y comunicaciones,,,"Cultura, Artes y Comunicaciones",Cultura y comunicaciones,"Cultura, Artes y Comunicaciones",,rica,alta,,
18505-06,"Iniciado en moción de los Honorables Senadores señor Flores y señoras Astudillo,  Núñez y Vodanovic, con la que inician un proyecto de ley, que modifica la ley N° 21.325, de Migración y Extranjería, con el objeto de sancionar penalmente la celebración de matrimonios o acuerdos de unión civil con fines migratorios",parlamentario,06,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",sufijo_boletin,0,Gobierno interior y descentralización,,,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,rica,alta,,
18526-07,"Establece una nueva causal de cesación en el cargo de diputado o senador y de otras autoridades que indica, por detección de consumo de sustancias estupefacientes o psicotrópicas de carácter ilícito, sin justificación médica",parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18534-13,Modifica el Código del Trabajo para extender la obligación de ofrecer trabajo a distancia o teletrabajo en casos de emergencia declarada por autoridad pública,parlamentario,13,Trabajo y Seguridad Social,,Trabajo y Seguridad Social,sufijo_boletin,0,Trabajo y seguridad social,,,Trabajo y Seguridad Social,Trabajo y seguridad social,Trabajo y Seguridad Social,,rica,alta,,
18535-07,Modifica el Código Civil para disponer la servidumbre legal de tránsito en casos que indica,parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18536-07,Modifica el Código Penal para tipificar el delito de ofensa racial y agravar su pena en las circunstancias que indica,parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18537-06,Tipifica la simulacion al celebrar de matrimonios o acuerdos de unión civil con fines migratorios,parlamentario,06,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",sufijo_boletin,0,Gobierno interior y descentralización,,,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,rica,alta,,
18521-07,Modifica la Constitución Política para incorporar una causal de cesación e incompatibilidad por detección de sustancias estupefacientes o sicotrópicas ilícitas,ejecutivo,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,Ministerio del Interior | Ministerio Secretaría General de la Presidencia,rica,media,origen_transversal,
18522-10,"Aprueba el Acuerdo de servicios aéreos entre el Gobierno de la República de Chile y el Gobierno del Sultanato de Omán, suscrito en Kuala Lumpur, Malasia, el 24 de octubre de 2024",ejecutivo,10,Relaciones Exteriores,,Relaciones Exteriores,sufijo_boletin,0,Relaciones exteriores,,,Relaciones Exteriores,Relaciones exteriores,Relaciones Exteriores,Ministerio de Relaciones Exteriores | Ministerio de Transporte y Telecomunicaciones,rica,alta,,
18540-06,"Modifica la ley N°19.638, sobre constitución jurídica de las iglesias y organizaciones religiosas, para simplificar la obtención de la personalidad jurídica de las entidades religiosas y garantizar su igualdad de trato ante los órganos del Estado.",parlamentario,06,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",sufijo_boletin,0,Gobierno interior y descentralización,,,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,rica,alta,,
18523-16,Modifica el Reglamento de la Cámara de Diputados para incorporar a la infancia y la adolescencia en la denominación de la Comisión de la Familia,parlamentario,16,Régimen Interno y Administración,,Régimen Interno y Administración,sufijo_boletin,0,Administración parlamentaria,,,Régimen Interno y Administración,Administración parlamentaria,,,rica,media,origen_transversal,
18524-05,Extiende vigencia y aumenta cobertura de la ley N° 21.748 y modifica normas que indica,ejecutivo,05,Hacienda,,Hacienda,sufijo_boletin,0,Economía y hacienda,,,Hacienda,Economía y hacienda,,Ministerio de Hacienda,rica,media,origen_transversal,
18525-06,"Modifica la ley N° 21.802, que fortalece la institucionalidad municipal en materia de seguridad pública y prevención del delito",ejecutivo,06,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",sufijo_boletin,0,Gobierno interior y descentralización,,,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Ministerio de Seguridad Pública,rica,alta,,
18539-21,"Modifica diversos cuerpos legales, con el objeto de tipificar nuevos delitos en el sector pesquero y de regular técnicas especiales de investigación",parlamentario,21,"Pesca, Acuicultura e Intereses Marítimos",,"Pesca, Acuicultura e Intereses Marítimos",sufijo_boletin,0,Pesca y acuicultura,,,"Pesca, Acuicultura e Intereses Marítimos",Pesca y acuicultura,"Pesca, Acuicultura e Intereses Marítimos",,rica,alta,,
18541-06,Modifica el Código Penal para incorporar una agravante en caso de robo o hurto cometido durante situaciones de desastre natural o evacuación preventiva,parlamentario,06,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",sufijo_boletin,0,Gobierno interior y descentralización,,,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización | Seguridad Ciudadana",Gobierno interior y descentralización | Seguridad,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización | Seguridad Ciudadana",,rica,alta,trayectoria_multitematica,
18542-29,"Modifica la ley N°19.712, del deporte, para promover la difusión de las disciplinas deportivas en los medios de comunicación social",parlamentario,29,Deportes y Recreación,,Deportes y Recreación,sufijo_boletin,0,Deportes,,,Deportes y Recreación,Deportes,Deportes y Recreación,,rica,alta,,
18543-35,Fomenta el acceso y participación de personas mayores en actividades económicas,parlamentario,35,Personas Mayores y Discapacidad,,Personas Mayores y Discapacidad,sufijo_boletin,0,Personas mayores y discapacidad,,,Personas Mayores y Discapacidad,Personas mayores y discapacidad,Personas Mayores y Discapacidad,,rica,alta,,
18544-06,Sanciona la celebración de matrimonios y acuerdos de unión civil destinados a obtener beneficios estatales o residencia en el país,parlamentario,06,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",sufijo_boletin,0,Gobierno interior y descentralización,,,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,rica,alta,,
18545-07,Modifica la Constitución Política para establecer un estatuto especial de aplicación de la ley penal a imputados rebeldes,parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18546-34,"Modifica diversos cuerpos legales, con el objeto de regular la gestación por subrogación altruista",parlamentario,34,Mujeres y Equidad de Género,,Mujeres y Equidad de Género,sufijo_boletin,0,Mujeres y género,,,Mujeres y Equidad de Género,Mujeres y género,Mujeres y Equidad de Género,,rica,alta,,
18547-35,"Establece una ley marco para la atención temprana de niños y niñas con discapacidad, rezago del desarrollo o factores de riesgo asociados",parlamentario,35,Personas Mayores y Discapacidad,,Personas Mayores y Discapacidad,sufijo_boletin,0,Personas mayores y discapacidad,,,Personas Mayores y Discapacidad,Personas mayores y discapacidad,Personas Mayores y Discapacidad,,rica,alta,,
18548-11,"Modifica la ley N° 19.664, con el objeto de establecer la movilidad territorial exclusiva entre zonas extremas y territorios especiales del país para los médicos que deben cumplir su período asistencial obligatorio",parlamentario,11,Salud,,Salud,sufijo_boletin,0,Salud,,,Salud,Salud,Salud,,rica,alta,,
18549-15,"Modifica la Ley de Tránsito, con el objeto de establecer nuevo requisito para obtener la licencia de conducir",parlamentario,15,Transportes y Telecomunicaciones,,Transportes y Telecomunicaciones,sufijo_boletin,0,Transportes y telecomunicaciones,,,Transportes y Telecomunicaciones,Transportes y telecomunicaciones,Transportes y Telecomunicaciones,,rica,alta,,
18550-36,"Modifica la ley N° 20.066, con el objeto de establecer entrevistas videograbadas en resguardo de las víctimas de violencia intrafamiliar",parlamentario,36,,,,sin_proxy,0,,,,,,,,rica,baja,codigo_destinacion_no_mapeado | sin_proxy_comision_origen,
18552-07,"Modifica el numeral 24° del artículo 19, con el objeto de consagrar la recuperación y uso social de los bienes inmuebles abandonados.",parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18551-04,"Modifica la ley N° 21.040, que crea el sistema de educación pública, con la finalidad de ajustar la segunda etapa de instalación y el traspaso de los servicios locales de educación",ejecutivo,04,Educación,,Educación,sufijo_boletin,0,Educación,,,Educación,Educación,Educación,Ministerio de Hacienda | Ministerio de Educación,rica,alta,,
18553-11,"Modifica diversos cuerpos legales, con el objeto de regular la prevención, detección y atención oncológica en el sector privado",parlamentario,11,Salud,,Salud,sufijo_boletin,0,Salud,,,Salud,Salud,Salud,,rica,alta,,
18554-36,"Modifica diversos cuerpos legales, con el objeto de otorgar protección a los niños y niñas abandonados en establecimientos de salud",parlamentario,36,,,,sin_proxy,0,,,,,,,,rica,baja,codigo_destinacion_no_mapeado | sin_proxy_comision_origen,
18555-17,"Modifica la ley N° 20.405, del Instituto Nacional de Derechos Humanos, para incorporar la figura de los observadores de derechos humanos acreditados",parlamentario,17,Derechos Humanos y Pueblos Originarios,,Derechos Humanos y Pueblos Originarios,sufijo_boletin,0,Derechos humanos,,,Derechos Humanos y Pueblos Originarios,Derechos humanos,Derechos Humanos y Pueblos Originarios,,rica,alta,,
18556-13,"Modifica el Código del Trabajo, con el objeto de extender el permiso a que tienen derecho los trabajadores en el caso de fallecimiento de un hijo",parlamentario,13,Trabajo y Seguridad Social,,Trabajo y Seguridad Social,sufijo_boletin,0,Trabajo y seguridad social,,,Trabajo y Seguridad Social,Trabajo y seguridad social,Trabajo y Seguridad Social,,rica,alta,,
18557-03,"Modifica diversos cuerpos legales, con el objeto de regular la revocación de autorizaciones de cobros recurrentes",parlamentario,03,"Economía, Fomento, MIPYMES, Consumidores y Turismo",,"Economía, Fomento, MIPYMES, Consumidores y Turismo",sufijo_boletin,0,"Economía, comercio y consumidores",,,"Economía, Fomento, MIPYMES, Consumidores y Turismo","Economía, comercio y consumidores","Economía, Fomento, MIPYMES, Consumidores y Turismo",,rica,alta,,
18562-07,Establece controles obligatorios sobre consumo de drogas y una causal de cesación en el cargo de las autoridades y directivos superiores que indica,parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18563-07,"Incorpora en el Código Penal el delito de apología pública a la discriminación, el maltrato y el abuso sexual en contra de niños, niñas, adolescentes y personas con discapacidad",parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18564-07,Impide temporalmente el alza en el valor del avalúo fiscal de los inmuebles residenciales por la instalación de paneles solares,parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,utilizable,media,origen_transversal,
18565-03,Incrementa la información sobre cobros en estados de cuenta y el control de cargos recurrentes en medios de pago,parlamentario,03,"Economía, Fomento, MIPYMES, Consumidores y Turismo",,"Economía, Fomento, MIPYMES, Consumidores y Turismo",sufijo_boletin,0,"Economía, comercio y consumidores",,,"Economía, Fomento, MIPYMES, Consumidores y Turismo | Constitución, Legislación, Justicia y Reglamento","Economía, comercio y consumidores | Constitución y justicia","Economía, Fomento, MIPYMES, Consumidores y Turismo",,rica,alta,trayectoria_multitematica,
18566-07,Dispone un sistema general de control de consumo de drogas en las autoridades que indica,parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18575-11,Promueve el establecimiento de escuelas de medicina en todas las regiones del país,parlamentario,11,Salud,,Salud,sufijo_boletin,0,Salud,,,Educación | Hacienda | Salud,Educación | Economía y hacienda | Salud,Educación | Salud,,utilizable,alta,trayectoria_multitematica,
18588-13,"Suspende transitoriamente los efectos de la ley N°21.643, que modifica el Código del Trabajo y otros cuerpos legales en materia de prevención, investigación y sanción del acoso laboral, sexual o de violencia en el trabajo",parlamentario,13,Trabajo y Seguridad Social,,Trabajo y Seguridad Social,sufijo_boletin,0,Trabajo y seguridad social,,,Trabajo y Seguridad Social,Trabajo y seguridad social,Trabajo y Seguridad Social,,rica,alta,,
18567-07,Modifica la Constitución Política para permitir a las Cámaras del Congreso Nacional solicitar el trámite de urgencia en la discusión de mociones,parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18568-07,Modifica el Código Penal para sancionar supuestos de acceso a sustancias o medicamentos abortivos,parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18569-06,"Modifica la ley N°20.000, que sanciona el tráfico ilícito de estupefacientes y sustancias sicotrópicas, para disponer como inhabilidad temporal para acceder a la función pública el haber patrocinado la defensa de imputados por infracciones a esa ley",parlamentario,06,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",sufijo_boletin,0,Gobierno interior y descentralización,,,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,rica,alta,,
18570-07,Modifica la Constitución Política para incorporar al Fiscal Nacional y a los fiscales regionales del Ministerio Público como sujetos acusables constitucionalmente por notable abandono de deberes,parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18576-06,Modifica la Ley sobre Rentas Municipales para ampliar el plazo de vigencia de las patentes municipales provisorias,parlamentario,06,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",sufijo_boletin,0,Gobierno interior y descentralización,,,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,rica,alta,,
18599-06,Declara feriado legal el 17 de septiembre de 2026,parlamentario,06,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",sufijo_boletin,0,Gobierno interior y descentralización,,,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización | Trabajo y Seguridad Social",Gobierno interior y descentralización | Trabajo y seguridad social,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización | Trabajo y Seguridad Social",,rica,alta,trayectoria_multitematica,
18573-25,Autoriza al Presidente de la República para recompensar a quienes aporten antecedentes útiles para la investigación y sanción de delitos vinculados al crimen organizado,parlamentario,25,Seguridad Ciudadana,,Seguridad Ciudadana,sufijo_boletin,0,Seguridad,,,Seguridad Ciudadana,Seguridad,Seguridad Ciudadana,,rica,alta,,
18574-25,Modifica el Código Penal para tipificar supuestos de tenencia de armas cortantes o punzantes en establecimientos penitenciarios,parlamentario,25,Seguridad Ciudadana,,Seguridad Ciudadana,sufijo_boletin,0,Seguridad,,,Seguridad Ciudadana,Seguridad,Seguridad Ciudadana,,rica,alta,,
18583-14,"Modifica el decreto ley N°1.305, de 1975, para garantizar que las postulaciones a los programas habitacionales puedan realizarse de modo individual o colectivo",parlamentario,14,"Vivienda, Desarrollo Urbano",,"Vivienda, Desarrollo Urbano",sufijo_boletin,0,Vivienda y territorio,,,"Vivienda, Desarrollo Urbano",Vivienda y territorio,"Vivienda, Desarrollo Urbano",,rica,alta,,
18558-25,"Modifica diversos cuerpos legales, con el objeto de establecer la obligación de entrega o puesta en ejecución de claves de descifrado, y de sancionar penalmente su incumplimiento",parlamentario,25,Seguridad Ciudadana,,Seguridad Ciudadana,sufijo_boletin,0,Seguridad,,,Seguridad Ciudadana,Seguridad,Seguridad Ciudadana,,rica,alta,,
18559-37,"Autoriza erigir un monumento, en la región de Arica y Parinacota, en homenaje a &quot;La Cantinera&quot;, heroína de la Guerra del Pacífico",parlamentario,37,,,,sin_proxy,0,,,,,,,,rica,baja,codigo_destinacion_no_mapeado | sin_proxy_comision_origen,
18561-36,"Modifica diversos cuerpos legales, en materia de control y seguimiento de niñas y niños bajo el régimen de reunificación familiar.",parlamentario,36,,,,sin_proxy,0,,,,,,,,rica,baja,codigo_destinacion_no_mapeado | sin_proxy_comision_origen,
18586-11,"Modifica la Ley N°19.496, sobre protección de los derechos de los consumidores, para exigir la disponibilidad de servicios higiénicos de uso público en locales comerciales que indica",parlamentario,11,Salud,,Salud,sufijo_boletin,0,Salud,,,Salud,Salud,Salud,,rica,alta,,
18587-06,Sanciona el incumplimiento de órdenes de evacuación o prohibiciones de ingreso emitidas por las autoridades y permite exigir el reembolso de los costos extraordinarios de búsqueda y rescate,parlamentario,06,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",sufijo_boletin,0,Gobierno interior y descentralización,,,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,rica,alta,,
18589-08,"Modifica el decreto ley N°3.525, de 1980, que crea el Servicio Nacional de Geología y Minería, para establecer la competencia de los tribunales para conocer reclamos contra resoluciones emitidas por ese servicio",parlamentario,08,Minería y Energía,,Minería y Energía,sufijo_boletin,0,Minería y energía,,,Minería y Energía | Medio Ambiente y Recursos Naturales,Minería y energía | Medio ambiente,Minería y Energía | Medio Ambiente y Recursos Naturales,,rica,alta,trayectoria_multitematica,
18590-07,Tipifica el delito de utilización de menores de catorce años para la comisión de delitos y agrava la responsabilidad penal de las organizaciones criminales que los instrumentalicen,parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18601-06,"Modifica la ley N°18.603, orgánica constitucional de los partidos políticos, para fijar un día para realizar a nivel nacional las elecciones internas de los partidos políticos",parlamentario,06,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",sufijo_boletin,0,Gobierno interior y descentralización,,,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,rica,alta,,
18560-35,"Introduce modificaciones en la ley N° 21.545, que establece la promoción de la inclusión, la atención integral, y la protección de los derechos de las personas con trastorno del espectro autista en el ámbito social, de salud y educación, relativas a su implementación",parlamentario,35,Personas Mayores y Discapacidad,,Personas Mayores y Discapacidad,sufijo_boletin,0,Personas mayores y discapacidad,,,Personas Mayores y Discapacidad,Personas mayores y discapacidad,Personas Mayores y Discapacidad,,rica,alta,,
18571-08,Establece obligaciones que indica para los exportadores de concentrado de cobre,parlamentario,08,Minería y Energía,,Minería y Energía,sufijo_boletin,0,Minería y energía,,,Minería y Energía,Minería y energía,Minería y Energía,,rica,alta,,
18572-07,"Modifica el Código Penal, con el objeto de tipificar la incitación pública o apología a la explotación, abuso sexual o pornografía infantil, y consagrar una circunstancia agravante en el caso de que la víctima posea una condición de discapacidad o neurodivergencia",parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18591-07,"Modifica la ley Nº 19.903, que establece el procedimiento para el otorgamiento de la posesión efectiva de la herencia, para facilitar el acceso de los herederos a activos financieros hereditarios",parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18592-03,"Fortalece los derechos de los pasajeros ante la sobreventa, modificaciones de itinerario, retrasos, cancelaciones y desembarque involuntario en el transporte aéreo",parlamentario,03,"Economía, Fomento, MIPYMES, Consumidores y Turismo",,"Economía, Fomento, MIPYMES, Consumidores y Turismo",sufijo_boletin,0,"Economía, comercio y consumidores",,,"Economía, Fomento, MIPYMES, Consumidores y Turismo","Economía, comercio y consumidores","Economía, Fomento, MIPYMES, Consumidores y Turismo",,rica,alta,,
18593-07,Modifica la Constitución Política para incorporar el derecho a una vivienda digna,parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18594-25,Modifica el Código Penal y el Código Procesal Penal para sancionar la extorsión territorial y el cobro de protección,parlamentario,25,Seguridad Ciudadana,,Seguridad Ciudadana,sufijo_boletin,0,Seguridad,,,Seguridad Ciudadana,Seguridad,Seguridad Ciudadana,,rica,alta,,
18595-07,Modifica la Constitución Política para disponer una cotización única de salud para los trabajadores pluriempleados y los pensionados que continúan ejerciendo labores remuneradas,parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento | Trabajo y Seguridad Social",Constitución y justicia | Trabajo y seguridad social,Trabajo y Seguridad Social,,rica,media,origen_transversal_con_comision_sustantiva | trayectoria_multitematica,
