boletin,titulo,origen_iniciativa,codigo_destinacion,comision_destino_sufijo,comision_origen_evento,comision_origen_proxy,origin_proxy_source,origin_proxy_mismatch,tema_proxy_origen,materia_pagina,materias_oficiales,comisiones_tramitacion,temas_proxy_trayectoria,comisiones_sustantivas,ministerios,text_quality,signal_strength,review_reason,origin_evidence_event
18315-07,Amplía las hipótesis de tráfico de migrantes y modifica los textos legales que indica,ejecutivo,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,Ministerio de Justicia y de Derechos Humanos | Ministerio del Interior | Ministerio de Seguridad Pública,rica,media,origen_transversal,
18342-02,"Modifica la ley N° 17.798, sobre control de armas, para agravar la sanción aplicable a los delitos perpetrados mediante el uso de fuegos artificiales y facultar a los inspectores municipales para fiscalizar la comercialización, porte y uso de estos elementos",parlamentario,02,Defensa Nacional,,Defensa Nacional,sufijo_boletin,0,Defensa,,,"Defensa Nacional | Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Defensa | Gobierno interior y descentralización,"Defensa Nacional | Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,rica,alta,trayectoria_multitematica,
18343-16,"Modifica el inciso segundo del artículo 355 del Reglamento de la Cámara de Diputados, con el objeto de aumentar el quorum de los acuerdos adoptados por la Comisión de Ética que apliquen sanciones por faltas a los deberes parlamentarios",parlamentario,16,Régimen Interno y Administración,,Régimen Interno y Administración,sufijo_boletin,0,Administración parlamentaria,,,Régimen Interno y Administración,Administración parlamentaria,,,rica,media,origen_transversal,
18344-07,"Modifica el artículo 19 N° 8 de la Constitución Política de la República, para establecer la obligatoriedad de afiliación al Fondo Nacional de Salud de las altas autoridades del Estado",parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18345-13,Modifica el Código del Trabajo para resguardar la inembargabilidad de las remuneraciones de los trabajadores ante acciones de cobranza,parlamentario,13,Trabajo y Seguridad Social,,Trabajo y Seguridad Social,sufijo_boletin,0,Trabajo y seguridad social,,,Educación | Trabajo y Seguridad Social,Educación | Trabajo y seguridad social,Educación | Trabajo y Seguridad Social,,rica,alta,trayectoria_multitematica,
18346-11,Modifica cuerpos legales que indica con el objeto de eximir del requisito de orden médica para la realización del examen de antígeno prostático específico (APE),parlamentario,11,Salud,,Salud,sufijo_boletin,0,Salud,,,Salud,Salud,Salud,,rica,alta,,
18347-29,Establece la obligatoriedad de exámenes de detección de drogas para el personal técnico de divisiones inferiores de clubes de fútbol profesional,parlamentario,29,Deportes y Recreación,,Deportes y Recreación,sufijo_boletin,0,Deportes,,,Deportes y Recreación,Deportes,Deportes y Recreación,,rica,alta,,
18323-07,Modifica diversos cuerpos legales con el objeto de fortalecer la persecución y sanción del delito de abigeato,parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18348-13,Modifica el Código del Trabajo en materia de permiso por fallecimiento de un hijo o de la persona bajo el cuidado personal del trabajador,parlamentario,13,Trabajo y Seguridad Social,,Trabajo y Seguridad Social,sufijo_boletin,0,Trabajo y seguridad social,,,Trabajo y Seguridad Social,Trabajo y seguridad social,Trabajo y Seguridad Social,,rica,alta,,
18349-06,Modifica el Código Penal y el Código Procesal Penal para tipificar como delito el empleo de bienes de uso público o de libre acceso al público para habitar o pernoctar y establecerlo como un delito de flagrancia permanente,parlamentario,06,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",sufijo_boletin,0,Gobierno interior y descentralización,,,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,rica,alta,,
18350-25,"Modifica la ley N° 21.659, sobre seguridad privada, para eximir del deber de contratar seguros o constituir caución a los organizadores de eventos religiosos masivos",parlamentario,25,Seguridad Ciudadana,,Seguridad Ciudadana,sufijo_boletin,0,Seguridad,,,Seguridad Ciudadana,Seguridad,Seguridad Ciudadana,,rica,alta,,
18351-07,Modifica textos legales que indica en materia de cumplimiento efectivo de penas privativas de libertad respecto de delitos que indica,parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18353-07,Conmutación de penas,parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18355-25,"Modifica el Código Procesal Penal, con el objeto de promover la persecución y sanción de delitos cometidos en recintos penitenciarios",parlamentario,25,Seguridad Ciudadana,,Seguridad Ciudadana,sufijo_boletin,0,Seguridad,,,Seguridad Ciudadana,Seguridad,Seguridad Ciudadana,,rica,alta,,
18357-06,"Modifica la Ley Orgánica Constitucional de Municipalidades, con la finalidad de permitir la recuperación de espacios públicos ocupados en forma irregular",parlamentario,06,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",sufijo_boletin,0,Gobierno interior y descentralización,,,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,rica,alta,,
18332-25,"Modifica la ley N° 21.802, en lo relativo al plazo para considerar un delito como flagrante, en el caso de detenciones efectuadas por inspectores de seguridad municipal",parlamentario,25,Seguridad Ciudadana,,Seguridad Ciudadana,sufijo_boletin,0,Seguridad,,,Seguridad Ciudadana,Seguridad,Seguridad Ciudadana,,rica,alta,,
18333-07,"Modifica diversos cuerpos legales, con el objeto de sancionar penalmente el reclutamiento de personas por parte de una asociación delictiva o criminal",parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18334-10,"Aprueba la &quot;Enmienda del Artículo VI del Estatuto del Organismo Internacional de Energía Atómica&quot;, aprobada por la Conferencia General del Organismo, celebrada el 1 de octubre de 1999 en Viena, Austria",ejecutivo,10,Relaciones Exteriores,,Relaciones Exteriores,sufijo_boletin,0,Relaciones exteriores,,,Relaciones Exteriores,Relaciones exteriores,Relaciones Exteriores,Ministerio de Relaciones Exteriores,rica,alta,,
18335-02,"Modifica la Ley sobre Control de Armas, con el objeto de fortalecer la trazabilidad, custodia y control de las armas de fuego",parlamentario,02,Defensa Nacional,,Defensa Nacional,sufijo_boletin,0,Defensa,,,Defensa Nacional,Defensa,Defensa Nacional,,rica,alta,,
18336-15,"Modifica el Código Aeronáutico, con el objeto de reforzar la protección de los derechos de los pasajeros ante imprevistos ocasionados por razones de seguridad, fuerza mayor o fenómenos meteorológicos",parlamentario,15,Transportes y Telecomunicaciones,,Transportes y Telecomunicaciones,sufijo_boletin,0,Transportes y telecomunicaciones,,,Transportes y Telecomunicaciones,Transportes y telecomunicaciones,Transportes y Telecomunicaciones,,rica,alta,,
18337-12,"Modifica la ley N° 21.368, con el objeto de prorrogar la entrada en vigencia de su reglamento y flexibilizar la aplicación de las disposiciones que indica",parlamentario,12,Medio Ambiente y Recursos Naturales,,Medio Ambiente y Recursos Naturales,sufijo_boletin,0,Medio ambiente,,,Medio Ambiente y Recursos Naturales,Medio ambiente,Medio Ambiente y Recursos Naturales,,rica,alta,,
18338-06,"Modifica la ley N° 19.886, Ley de Bases sobre Contratos Administrativos de Suministro y Prestación de Servicios, con el objeto de fortalecer la protección laboral del personal que se desempeña en la manipulación de alimentos y asegurar la correcta prestación de dichos servicios",parlamentario,06,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",sufijo_boletin,0,Gobierno interior y descentralización,,,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,rica,alta,,
18340-03,Excluye la aplicación de la unidad de fomento como mecanismo de reajustabilidad en los contratos que señala y establece mayores deberes de transparencia en su utilización,parlamentario,03,"Economía, Fomento, MIPYMES, Consumidores y Turismo",,"Economía, Fomento, MIPYMES, Consumidores y Turismo",sufijo_boletin,0,"Economía, comercio y consumidores",,,"Economía, Fomento, MIPYMES, Consumidores y Turismo","Economía, comercio y consumidores","Economía, Fomento, MIPYMES, Consumidores y Turismo",,rica,alta,,
18352-04,"Modifica la ley N°20.370, General de Educación, para incorporar la educación emocional y salud mental en el sistema escolar",parlamentario,04,Educación,,Educación,sufijo_boletin,0,Educación,,,Educación,Educación,Educación,,rica,alta,,
