boletin,sequence,commission,topic_proxy,is_origin_proxy,is_transversal,source_type,first_seen_date,etapa,evidence_event,source_url
18444-14,1,"Vivienda, Desarrollo Urbano",Vivienda y territorio,1,0,sufijo_boletin,2026-06-26,destinación inicial,Código de destinación del boletín: 14,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19128&prmBOLETIN=18444-14
18434-07,1,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,1,1,evento_tramitacion,2026-07-08,Primer trámite constitucional / C. Diputados,"Oficio N° 21369. Por acuerdo de la Sala, remite a la Comisión de Seguridad Ciudadana el proyecto de ley, asignado inicialmente a la Comisión de Constitución, Legislación, Justicia y Reglamento.",https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19115&prmBOLETIN=18434-07
18434-07,2,Seguridad Ciudadana,Seguridad,0,0,evento_tramitacion,2026-07-08,Primer trámite constitucional / C. Diputados,"Oficio N° 21369. Por acuerdo de la Sala, remite a la Comisión de Seguridad Ciudadana el proyecto de ley, asignado inicialmente a la Comisión de Constitución, Legislación, Justicia y Reglamento.",https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19115&prmBOLETIN=18434-07
18435-01,1,"Agricultura, Silvicultura y Desarrollo Rural",Agricultura y mundo rural,1,0,sufijo_boletin,2026-06-29,destinación inicial,Código de destinación del boletín: 01,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19116&prmBOLETIN=18435-01
18421-07,1,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,1,1,sufijo_boletin,2026-06-30,destinación inicial,Código de destinación del boletín: 07,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19093&prmBOLETIN=18421-07
18423-07,1,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,1,1,sufijo_boletin,2026-06-30,destinación inicial,Código de destinación del boletín: 07,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19094&prmBOLETIN=18423-07
18426-07,1,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,1,1,sufijo_boletin,2026-06-30,destinación inicial,Código de destinación del boletín: 07,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19091&prmBOLETIN=18426-07
18447-07,1,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,1,1,sufijo_boletin,2026-06-30,destinación inicial,Código de destinación del boletín: 07,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19130&prmBOLETIN=18447-07
18448-25,1,Seguridad Ciudadana,Seguridad,1,0,sufijo_boletin,2026-07-01,destinación inicial,Código de destinación del boletín: 25,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19131&prmBOLETIN=18448-25
18448-25,2,Personas Mayores y Discapacidad,Personas mayores y discapacidad,0,0,evento_tramitacion,2026-08-03,Primer trámite constitucional / C. Diputados,Oficio N°21.427. Comunica que la Cámara de Diputados acordó remitir el proyecto de ley a la Comisión de Personas Mayores y Discapacidad.,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19131&prmBOLETIN=18448-25
18449-06,1,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,1,0,sufijo_boletin,2026-07-01,destinación inicial,Código de destinación del boletín: 06,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19129&prmBOLETIN=18449-06
18427-07,1,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,1,1,sufijo_boletin,2026-07-03,destinación inicial,Código de destinación del boletín: 07,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19096&prmBOLETIN=18427-07
18450-01,1,"Agricultura, Silvicultura y Desarrollo Rural",Agricultura y mundo rural,1,0,sufijo_boletin,2026-07-05,destinación inicial,Código de destinación del boletín: 01,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19137&prmBOLETIN=18450-01
18468-13,1,Trabajo y Seguridad Social,Trabajo y seguridad social,1,0,sufijo_boletin,2026-07-05,destinación inicial,Código de destinación del boletín: 13,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19153&prmBOLETIN=18468-13
18428-10,1,Relaciones Exteriores,Relaciones exteriores,1,0,sufijo_boletin,2026-07-06,destinación inicial,Código de destinación del boletín: 10,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19105&prmBOLETIN=18428-10
18429-10,1,Relaciones Exteriores,Relaciones exteriores,1,0,sufijo_boletin,2026-07-06,destinación inicial,Código de destinación del boletín: 10,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19106&prmBOLETIN=18429-10
18431-31,1,Desarrollo Social,Desarrollo social,1,0,sufijo_boletin,2026-07-06,destinación inicial,Código de destinación del boletín: 31,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19107&prmBOLETIN=18431-31
18453-13,1,Trabajo y Seguridad Social,Trabajo y seguridad social,1,0,sufijo_boletin,2026-07-06,destinación inicial,Código de destinación del boletín: 13,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19141&prmBOLETIN=18453-13
18454-11,1,Salud,Salud,1,0,sufijo_boletin,2026-07-06,destinación inicial,Código de destinación del boletín: 11,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19140&prmBOLETIN=18454-11
18455-07,1,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,1,1,sufijo_boletin,2026-07-06,destinación inicial,Código de destinación del boletín: 07,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19138&prmBOLETIN=18455-07
18456-06,1,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,1,0,sufijo_boletin,2026-07-06,destinación inicial,Código de destinación del boletín: 06,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19136&prmBOLETIN=18456-06
18457-06,1,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,1,0,sufijo_boletin,2026-07-06,destinación inicial,Código de destinación del boletín: 06,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19139&prmBOLETIN=18457-06
18458-07,1,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,1,1,sufijo_boletin,2026-07-06,destinación inicial,Código de destinación del boletín: 07,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19133&prmBOLETIN=18458-07
18460-07,1,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,1,1,sufijo_boletin,2026-07-06,destinación inicial,Código de destinación del boletín: 07,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19135&prmBOLETIN=18460-07
18437-37,1,"Cultura, Patrimonio, Artes, Deportes y Recreación","Cultura, patrimonio y deporte",1,0,sufijo_boletin,2026-07-07,destinación inicial,Código de destinación del boletín: 37,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19120&prmBOLETIN=18437-37
18438-02,1,Defensa Nacional,Defensa,1,0,sufijo_boletin,2026-07-07,destinación inicial,Código de destinación del boletín: 02,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19121&prmBOLETIN=18438-02
18439-02,1,Defensa Nacional,Defensa,1,0,sufijo_boletin,2026-07-07,destinación inicial,Código de destinación del boletín: 02,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19122&prmBOLETIN=18439-02
