boletin,project_id,fecha_ingreso,origen_iniciativa,titulo,document_type,event_label,source_url,resolved_url,mime_type,extraction_method,pages_total,units_examined,raw_chars,cleaned_chars,text_quality,text_sha256,synced_at
18358-03,19051,2026-06-10,parlamentario,"Modifica la ley N° 19.496, que establece normas sobre protección de los derechos de los consumidores, para consagrar el derecho a poner término a los contratos por la misma forma, vía o canal en que fueron celebrados",ingreso_proyecto,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18602&prmTIPO=INICIATIVA,https://www.camara.cl/verDoc.aspx?prmID=18602&prmTIPO=INICIATIVA,application/pdf,pdf_text,14,14,25805,23964,rica,22cc877a62239be26c0e3acbde92014cb217229f41dc31cbd77629e0fdf1c382,2026-09-02T15:10:24+00:00
18359-07,19050,2026-06-10,parlamentario,Modifica el artículo 52 de la Constitución Política de la República en materia de cumplimiento de los requerimientos de fiscalización realizados por la Cámara de Diputados,ingreso_proyecto,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18601&prmTIPO=INICIATIVA,https://www.camara.cl/verDoc.aspx?prmID=18601&prmTIPO=INICIATIVA,application/pdf,pdf_text,14,14,26246,24282,rica,a6663e8331061f8b97525a56405f1b69c99dcb85bd06ed57c527e3ad1286c382,2026-09-02T15:10:25+00:00
18360-07,19049,2026-06-10,parlamentario,Modifica el Código Penal en materia de sanciones aplicables por delitos cometidos en contra de funcionarios y autoridades,ingreso_proyecto,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18600&prmTIPO=INICIATIVA,https://www.camara.cl/verDoc.aspx?prmID=18600&prmTIPO=INICIATIVA,application/pdf,pdf_text,6,6,7501,5822,rica,f876d9a38d5696003c2626d751bfe7bf5c219ffcada1569a37404968ad628dc6,2026-09-02T15:10:25+00:00
18361-02,19048,2026-06-11,parlamentario,"Aumenta la pena aplicable al delito de ingreso no autorizado a recintos militares y policiales, y fortalece la protección de la seguridad pública",ingreso_proyecto,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18599&prmTIPO=INICIATIVA,https://www.camara.cl/verDoc.aspx?prmID=18599&prmTIPO=INICIATIVA,application/pdf,pdf_text,5,5,6564,6564,rica,d457d7dd1fe1ba67fd09b9aeabceef456801361c19a34a390d26593a3ff58fcd,2026-09-02T15:10:26+00:00
18362-19,19047,2026-06-11,parlamentario,Establece la obligación de fijar domicilio en Chile a las plataformas digitales,ingreso_proyecto,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18598&prmTIPO=INICIATIVA,https://www.camara.cl/verDoc.aspx?prmID=18598&prmTIPO=INICIATIVA,application/pdf,pdf_text,8,8,14033,12468,rica,b4c46703ea886667ae1f7554290e8f1bfb9c90ad9a4f0fe207752eed9d15a3e5,2026-09-02T15:10:26+00:00
18363-06,19046,2026-06-11,parlamentario,"Modifica la ley N° 19.925, sobre expendio y consumo de bebidas alcohólicas, en materia de requisitos para acceder a patentes de funcionamiento de establecimientos que expenden alcohol",ingreso_proyecto,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18597&prmTIPO=INICIATIVA,https://www.camara.cl/verDoc.aspx?prmID=18597&prmTIPO=INICIATIVA,application/pdf,pdf_text,5,5,6447,4685,rica,11b93b9dfaf7d1598dbc64780c2dd60a44c46b8a1644c67aa4e3371f04844a90,2026-09-02T15:10:27+00:00
18364-07,19045,2026-06-12,parlamentario,Modifica la carta fundamental para establecer la jornada laboral máxima de 40 horas semanales para los funcionarios públicos,ingreso_proyecto,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18596&prmTIPO=INICIATIVA,https://www.camara.cl/verDoc.aspx?prmID=18596&prmTIPO=INICIATIVA,application/pdf,pdf_text,5,5,6936,5258,rica,913cadaf5d8904ba4deb71573fb090be1cf7a6def1d32cdf9f1ed657f356bca2,2026-09-02T15:10:28+00:00
18365-07,19044,2026-06-12,parlamentario,Modifica el artículo 291 bis del Código Penal para aumentar las penas del delito de maltrato animal,ingreso_proyecto,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18595&prmTIPO=INICIATIVA,https://www.camara.cl/verDoc.aspx?prmID=18595&prmTIPO=INICIATIVA,application/pdf,pdf_text,5,5,7374,5772,rica,c405946bdc84d707135eb39085b1f96ac7362040f78c9f399ddd6a93a948763f,2026-09-02T15:10:29+00:00
18366-25,19043,2026-06-12,parlamentario,Modifica ley N° 21.560 y deroga norma del Código de Justicia Militar,ingreso_proyecto,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18594&prmTIPO=INICIATIVA,https://www.camara.cl/verDoc.aspx?prmID=18594&prmTIPO=INICIATIVA,application/pdf,pdf_text,7,7,10627,10627,rica,f8710e1d14a8caedd8d2604bdf5a749580fd63dcf3b1bdd0f07430bc0949efcb,2026-09-02T15:10:29+00:00
18367-25,19042,2026-06-12,parlamentario,Establece reglas especiales para la determinación de la pena respecto de los delitos de homicidio y lesiones cometidos por adolescentes en contra de funcionarios policiales,ingreso_proyecto,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18593&prmTIPO=INICIATIVA,https://www.camara.cl/verDoc.aspx?prmID=18593&prmTIPO=INICIATIVA,application/pdf,pdf_text,5,5,7936,6180,rica,8d8d85cc7db5b0480f16541a20b84c610b3026f90b4daf8b4e3415629d4f3520,2026-09-02T15:10:30+00:00
