"vote_id","boletin","fecha","minority_share_binary","binary_participation_share","spread_1d","midpoint_1d","gmp","apre"
"88961","18216-05","2026-05-20",0.44,0.967742,0.666306734085083,-0.00874426867812872,0.921155989170074,0.939393939393939
"88962","18216-05","2026-05-20",0.496732,0.987097,1.43173682689667,-0.43173685669899,0.989364862442017,0.986842105263158
"88963","18216-05","2026-05-20",0.411765,0.987097,0.462781220674515,0.100508160889149,0.855133235454559,0.777777777777778
"88964","18216-05","2026-05-20",0.431373,0.987097,0.546289205551147,0.0449202470481396,0.888048827648163,0.878787878787879
"88965","18216-05","2026-05-20",0.073826,0.96129,0.240000009536743,1,0.60072934627533,0
"88966","18216-05","2026-05-20",0.369128,0.96129,0.449034750461578,0.198221877217293,0.844184458255768,0.727272727272727
"88967","18216-05","2026-05-20",0.453947,0.980645,1.06470358371735,-0.0647035539150238,0.97233259677887,1
"88968","18216-05","2026-05-20",0.430464,0.974194,0.462123066186905,0.00630610948428512,0.870450973510742,0.907692307692308
"88969","18216-05","2026-05-20",0.414474,0.980645,0.49894580245018,0.107158944010735,0.863771557807922,0.80952380952381
"88970","18216-05","2026-05-20",0.463576,0.974194,1.09079468250275,-0.0907947272062302,0.971782803535461,0.971428571428571
"88971","18216-05","2026-05-20",0.46,0.967742,1.07924902439117,-0.0792490243911743,0.972379803657532,0.985507246376812
"88972","18216-05","2026-05-20",0.473684,0.980645,0.708690941333771,-0.131129130721092,0.945660293102264,0.944444444444444
"88973","18216-05","2026-05-20",0.477124,0.987097,0.70938766002655,-0.149903580546379,0.944192707538605,0.945205479452055
"88974","18216-05","2026-05-20",0.464052,0.987097,-0.726046144962311,-0.0773810893297195,0.936183333396912,0.957746478873239
"88975","18216-05","2026-05-20",0.496689,0.974194,-0.501129567623138,-0.350964963436127,0.904185712337494,0.933333333333333
"88976","18216-05","2026-05-20",0.437908,0.987097,-0.44516795873642,0.016996756196022,0.863586902618408,0.895522388059702
"88977","18216-05","2026-05-20",0.493421,0.980645,-1.22258448600769,-0.222584441304207,0.98938649892807,0.986666666666667
"88978","18216-05","2026-05-20",0.463576,0.974194,-0.844518721103668,-0.0654110163450241,0.944731593132019,0.957142857142857
"88979","18216-05","2026-05-20",0.467105,0.980645,-0.751480400562286,-0.0741930156946182,0.938131988048553,0.915492957746479
"88980","18216-05","2026-05-20",0.450331,0.974194,-1.02960801124573,0.0296079535037279,0.952468037605286,0.970588235294118
"88981","18216-05","2026-05-20",0.38255,0.96129,0.496072858572006,0.16935683786869,0.861839234828949,0.719298245614035
"88984","18216-05","2026-05-20",0.476821,0.974194,-0.504036843776703,-0.243750363588333,0.910506784915924,0.972222222222222
"89000","18156-04","2026-06-02",0.304636,0.974194,0.557962417602539,0.371433794498444,0.843004822731018,0.760869565217391
"89001","18156-04","2026-06-02",0.206667,0.967742,-1.58354449272156,-0.894947528839111,0.834390461444855,0.741935483870968
"89002","18156-04","2026-06-02",0.3,0.967742,0.860320091247559,0.383455574512482,0.883908927440643,0.822222222222222
"89003","17287-14","2026-06-02",0.106383,0.909677,1.58862149715424,0.744175732135773,0.939075708389282,0.6
"89032","16808-25","2026-06-03",0.414966,0.948387,-1.18751072883606,0.187510699033737,0.952337026596069,1
"89034","18230-13","2026-06-03",0.335766,0.883871,1.13866007328033,0.268970012664795,0.923479855060577,0.934782608695652
"89035","18230-13","2026-06-03",0.355072,0.890323,1.28317284584045,0.283172786235809,0.954700469970703,0.959183673469388
"89036","18230-13","2026-06-03",0.345324,0.896774,1.30278038978577,0.302780359983444,0.943631410598755,0.916666666666667
"89037","18230-13","2026-06-03",0.35,0.903226,1.29375422000885,0.29375422000885,0.950524747371674,0.938775510204082
"89038","18230-13","2026-06-03",0.043478,0.890323,0.300000011920929,1,0.634900331497192,0
"89071","18030-12","2026-06-08",0.352,0.806452,1.19985938072205,0.199859425425529,0.949196398258209,0.954545454545455
"89107","16725-06","2026-06-10",0.382979,0.909677,0.806776225566864,0.207698971033096,0.893949568271637,0.907407407407407
"89113","15936-18","2026-06-10",0.045045,0.716129,-1.60700392723083,-0.900661528110504,0.915386319160461,0.4
"89154","16857-07","2026-06-16",0.37037,0.870968,-1.19237875938416,0.192378729581833,0.94829910993576,0.98
"89155","16857-07","2026-06-16",0.375,0.877419,-1.18474769592285,0.184747725725174,0.95171594619751,0.980392156862745
"89157","16857-07","2026-06-16",0.303371,0.574194,-0.20045031607151,-0.189487680792809,0.668299973011017,0.37037037037037
"89158","16857-07","2026-06-16",0.408602,0.6,-0.402754008769989,0.0582754649221897,0.80398291349411,0.842105263157895
"89160","16857-07","2026-06-16",0.446281,0.780645,-1.17723917961121,0.177239134907722,0.949473321437836,1
"89161","16857-07","2026-06-16",0.344262,0.787097,-1.5841817855835,-0.761058628559113,0.895775556564331,0.785714285714286
"89178","18296-05","2026-06-17",0.356164,0.941935,0.473878681659698,0.238682344555855,0.837281405925751,0.884615384615385
"89179","18296-05","2026-06-17",0.5,0.941935,-1.50862073898315,-0.508620798587799,0.974633038043976,0.972602739726027
"89180","18296-05","2026-06-17",0.493151,0.941935,-1.51161909103394,-0.51161915063858,0.985368371009827,0.986111111111111
"89242","18211-25","2026-06-24",0.264706,0.877419,1.43597841262817,0.435978412628174,0.946554601192474,0.972222222222222
"89288","16851-14","2026-07-06",0.5,0.864516,-1.18281984329224,-0.543507874011993,0.951047897338867,0.985074626865672
"89302","16743-04","2026-07-07",0.240876,0.883871,1.52967047691345,0.529670417308807,0.965016543865204,0.96969696969697
"89303","16743-04","2026-07-07",0.258993,0.896774,1.46980655193329,0.469806522130966,0.937135756015778,0.972222222222222
"89304","16743-04","2026-07-07",0.255319,0.909677,1.52867412567139,0.528674185276031,0.961751759052277,0.972222222222222
"89305","16743-04","2026-07-07",0.482517,0.922581,-1.49286115169525,-0.492861181497574,0.981712996959686,0.985507246376812
"89306","16743-04","2026-07-07",0.433566,0.922581,-0.315262854099274,-0.0814356654882431,0.805567443370819,0.806451612903226
"89307","16743-04","2026-07-07",0.409722,0.929032,-1.17558610439301,0.175586074590683,0.954957842826843,1
"89308","16743-04","2026-07-07",0.28777,0.896774,0.628996133804321,0.398580372333527,0.86524361371994,0.75
"89309","16743-04","2026-07-07",0.242647,0.877419,1.56337642669678,0.563376486301422,0.944116175174713,0.96969696969697
"89310","16743-04","2026-07-07",0.363636,0.922581,0.665765881538391,0.234769403934479,0.876125454902649,0.807692307692308
"89311","16743-04","2026-07-07",0.260563,0.916129,1.48050618171692,0.480506241321564,0.936597466468811,0.972972972972973
"89312","16743-04","2026-07-07",0.253521,0.916129,1.55523955821991,0.55523955821991,0.961730301380157,1
"89314","14767-03","2026-07-07",0.416667,0.929032,-0.66361802816391,0.0912520065903664,0.90325528383255,0.933333333333333
"89315","14767-03","2026-07-07",0.03,0.645161,1.54328310489655,0.543283104896545,0.987738370895386,1
"89316","14767-03","2026-07-07",0.401408,0.916129,-1.17947268486023,0.179472640156746,0.959057152271271,1
"89317","14767-03","2026-07-07",0.413793,0.935484,-1.1761120557785,0.176112100481987,0.952694416046143,1
"89344","18384-08","2026-07-08",0.276423,0.793548,0.508677184581757,0.414463996887207,0.846077919006348,0.764705882352941
