"diputado_id","diputado_nombre","opportunities","binary_votes","participation_share","dimension_1_raw","se_wnominate_501","gmp","correctly_classified"
"1215","Álvaro Jofré Cáceres",276,275,0.996376811594203,-0.992805957794189,0.121890999376774,0.917817056179047,0.952727272727273
"1216","Stephanie Jéldrez Ortiz",276,269,0.97463768115942,-0.992313027381897,0.123345769941807,0.97361546754837,0.996282527881041
"1217","Pier Karlezi Hazleby",276,258,0.934782608695652,-1,0.122863680124283,0.91957825422287,0.953488372093023
"1218","José Antonio Kast Adriasola",276,270,0.978260869565217,-0.991549730300903,0.119138866662979,0.973734140396118,0.996296296296296
"1219","Tomás Kast Sommerhoff",276,260,0.942028985507246,-0.780567169189453,0.0800362750887871,0.930429399013519,0.965384615384615
"1220","Leandro Kunstmann Collado",276,270,0.978260869565217,-0.992709875106812,0.122854925692081,0.973653793334961,0.996296296296296
"1221","Benjamín Lorca Inzunza",276,268,0.971014492753623,-0.993303656578064,0.122640416026115,0.973661184310913,0.996268656716418
"1222","Andrea Macías Palma",276,254,0.920289855072464,0.740606844425201,0.078296460211277,0.940864861011505,0.976377952755906
"1223","Hans Marowski Cuevas",276,256,0.927536231884058,-1,0.12034684419632,0.934031367301941,0.95703125
"1224","Cristian Mella Andaur",276,260,0.942028985507246,0.245622903108597,0.0788086429238319,0.780253529548645,0.884615384615385
"1225","Cristian Menchaca Pinochet",276,260,0.942028985507246,-0.992754817008972,0.123541131615639,0.972948372364044,0.996153846153846
"1226","José Montalva Feuerhake",276,263,0.952898550724638,0.370998173952103,0.0856575518846512,0.823222815990448,0.927756653992395
"1227","Claudia Mora Vega",276,263,0.952898550724638,-0.751799643039703,0.0755531191825867,0.913141965866089,0.965779467680608
"1228","Paulina Muñoz Minte",276,274,0.992753623188406,-1,0.125927403569221,0.925385653972626,0.956204379562044
"1229","Javier Muñoz Riquelme",276,251,0.909420289855073,0.231780007481575,0.0776916146278381,0.757284581661224,0.884462151394422
"1230","Alex Nahuelquin Nahuelquin",276,257,0.931159420289855,-0.0841939747333527,0.0687946751713753,0.735970020294189,0.836575875486381
"1231","Ximena Naranjo Pinto",276,258,0.934782608695652,-0.762622594833374,0.0765544325113297,0.932407557964325,0.98062015503876
"1232","Cristian Neira Martínez",276,266,0.963768115942029,-0.988200843334198,0.117619447410107,0.973913192749023,0.996240601503759
"1233","Ricardo Neumann Bertín",276,262,0.949275362318841,-0.869081258773804,0.0941635519266129,0.960518777370453,0.988549618320611
"1234","Mario Olavarría Rodríguez",276,223,0.807971014492754,-0.874890327453613,0.0967850089073181,0.952684342861176,0.986547085201794
"1235","Javier Olivares Avendaño",276,268,0.971014492753623,-0.417377352714539,0.0727361887693405,0.748285174369812,0.861940298507463
"1236","Paula Olmos Contreras",276,212,0.768115942028985,0.0167149901390076,0.0621462687849998,0.711911201477051,0.830188679245283
