deputy_id,deputy_name,district,servel_candidate_code,servel_candidate_name,electoral_party,electoral_pact,electoral_subpact,source_url,match_method,match_score,match_confidence
1128,Ana María Gazmuri Vieira,12,66012051,ANA MARIA GAZMURI VIEIRA,PARTIDO ACCIÓN HUMANISTA,"VERDES, REGIONALISTAS Y HUMANISTAS",,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
1131,Mauro González Villarroel,26,66026068,MAURO GONZALEZ VILLARROEL,RENOVACION NACIONAL,CHILE GRANDE Y UNIDO,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
1132,Jorge Guzmán Zepeda,17,66017074,JORGE GUZMAN ZEPEDA,EVOLUCION POLITICA,CHILE GRANDE Y UNIDO,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
1133,Juan Irarrázaval Rossel,14,66014089,JUAN IRARRAZAVAL ROSSEL,PARTIDO REPUBLICANO DE CHILE,CAMBIO POR CHILE,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
1140,Daniel Lilayu Vivanco,25,66025066,DANIEL LILAYU VIVANCO,UNION DEMOCRATA INDEPENDIENTE,CHILE GRANDE Y UNIDO,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
1141,Luis Malla Valenzuela,1,66001055,LUIS MALLA VALENZUELA,PARTIDO LIBERAL DE CHILE,UNIDAD POR CHILE,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
1142,Daniel Manouchehri Lobos,5,66005060,DANIEL MANOUCHEHRI MOGHADAM KASHAN LOBOS,PARTIDO SOCIALISTA DE CHILE,UNIDAD POR CHILE,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_fuzzy_name,0.7875,medium
1143,Cristóbal Martínez Ramírez,19,66019089,CRISTOBAL MARTINEZ RAMIREZ,UNION DEMOCRATA INDEPENDIENTE,CHILE GRANDE Y UNIDO,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
1146,José Carlos Meza Pereira,9,66009096,JOSE CARLOS MEZA PEREIRA,PARTIDO REPUBLICANO DE CHILE,CAMBIO POR CHILE,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
1148,Javiera Morales Alvarado,28,66028053,JAVIERA MORALES ALVARADO,FRENTE AMPLIO,UNIDAD POR CHILE,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
1150,Benjamín Moreno Bascur,17,66017081,BENJAMIN MORENO BASCUR,PARTIDO REPUBLICANO DE CHILE,CAMBIO POR CHILE,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
1152,Gloria Naveillan Arriagada,22,66022076,GLORIA NAVEILLAN ARRIAGADA,PARTIDO NACIONAL LIBERTARIO,CAMBIO POR CHILE,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
1153,Coca Ericka Ñanco Vásquez,23,66023068,COCA ÑANCO VASQUEZ,FRENTE AMPLIO,UNIDAD POR CHILE,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_fuzzy_name,0.8642,medium
1157,Marlene Pérez Cartes,20,66020095,MARLENE PEREZ CARTES,UNION DEMOCRATA INDEPENDIENTE,CHILE GRANDE Y UNIDO,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
