observed_date,deputy_id,deputy_name,party_reported,caucus_reported,alignment_reported,profile_url,source_type
2026-09-02,1233,Ricardo Neumann Bertín,Unión Demócrata Independiente,Unión Demócrata Independiente,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1233,camara_snapshot
2026-09-02,1234,Mario Olavarría Rodríguez,Unión Demócrata Independiente,Unión Demócrata Independiente,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1234,camara_snapshot
2026-09-02,1235,Javier Olivares Avendaño,Partido de la Gente,Comité Partido de la Gente,no_alineado,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1235,camara_snapshot
2026-09-02,1236,Paula Olmos Contreras,Partido de la Gente,Comité Partido de la Gente,no_alineado,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1236,camara_snapshot
2026-09-02,1237,Francisco Orrego Gutiérrez,Renovación Nacional,"Renovación Nacional, Evopoli e Independientes",oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1237,camara_snapshot
2026-09-02,1238,Álvaro Ortiz Vera,Partido Demócrata Cristiano,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes",oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1238,camara_snapshot
2026-09-02,1239,Fabián Ossandón Briceño,Partido de la Gente,Comité Partido de la Gente,no_alineado,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1239,camara_snapshot
2026-09-02,1240,Zandra Parisi Fernández,Partido de la Gente,Comité Partido de la Gente,no_alineado,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1240,camara_snapshot
2026-09-02,1241,Patricio Pinilla Valencia,Partido Demócrata Cristiano,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes",oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1241,camara_snapshot
2026-09-02,1242,Rodrigo Ramírez Parra,Independientes,"Renovación Nacional, Evopoli e Independientes",oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1242,camara_snapshot
2026-09-02,1243,Tamara Ramírez Ramírez,Partido de la Gente,Comité Partido de la Gente,no_alineado,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1243,camara_snapshot
2026-09-02,1244,Claudia Reyes Larenas,Partido Republicano,Comité Partido Republicano,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1244,camara_snapshot
2026-09-02,1245,Alejandro Riquelme Ducci,Partido Republicano,Comité Partido Republicano,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1245,camara_snapshot
2026-09-02,1246,José Antonio Rivas Villalobos,Partido Socialista,"Socialista, Liberal, Radical e Independientes",oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1246,camara_snapshot
2026-09-02,1247,Javiera Rodríguez Pascual,Partido Republicano,Comité Partido Republicano,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1247,camara_snapshot
2026-09-02,1248,Felipe Ross Correa,Partido Republicano,Comité Partido Republicano,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1248,camara_snapshot
2026-09-02,1249,Omar Sabat Guzmán,Independientes,Unión Demócrata Independiente,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1249,camara_snapshot
2026-09-02,1250,Bernardo Salinas Maya,Independientes,Comité Comunista e Independientes,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1250,camara_snapshot
2026-09-02,1251,Macarena Santelices Cañas,Partido Republicano,Comité Partido Republicano,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1251,camara_snapshot
2026-09-02,1252,Constanza Schonhaut Soto,Frente Amplio,Frente Amplio,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1252,camara_snapshot
2026-09-02,1253,Fernando Ugarte Tejeda,Partido Republicano,Comité Partido Republicano,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1253,camara_snapshot
2026-09-02,1254,Ignacio Urcullú Clèment-Lund,Partido Republicano,Comité Partido Republicano,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1254,camara_snapshot
2026-09-02,1255,Eileen Urqueta Rojas,Partido de la Gente,Comité Partido de la Gente,no_alineado,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1255,camara_snapshot
