deputy_id,deputy_name,term_start,party_at_term_start,electoral_party_slot,electoral_pact,basis,confidence,source_url_primary,source_url_secondary,source_note,frozen_on
1110,Carlos Bianchi Chelech,2026-03-11,Independientes,INDEPENDIENTES,CANDIDATURA INDEPENDIENTE,servel_slot_camara_snapshot_concordance,medium,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1110,Cupo electoral Servel 2025 y partido reportado por la Cámara el 02-09-2026 coinciden. Estado de inicio congelado con confianza media hasta verificación biográfica directa.,2026-09-02
1114,Félix Bugueño Sotelo,2026-03-11,Frente Amplio,FRENTE AMPLIO,UNIDAD POR CHILE,servel_slot_camara_snapshot_concordance,medium,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1114,Cupo electoral Servel 2025 y partido reportado por la Cámara el 02-09-2026 coinciden. Estado de inicio congelado con confianza media hasta verificación biográfica directa.,2026-09-02
1116,Felipe Camaño Cárdenas,2026-03-11,Independientes,PARTIDO DEMOCRATA CRISTIANO,UNIDAD POR CHILE,bcn_biografia,high,https://www.bcn.cl/historiapolitica/resenas_biograficas/wiki/Felipe_Cama%C3%B1o_C%C3%A1rdenas,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,"BCN: reelecto en 2025 y asume el 11-03-2026 en calidad de independiente, en cupo DC.",2026-09-02
1117,Nathalie Castillo Rojas,2026-03-11,Partido Comunista,PARTIDO COMUNISTA DE CHILE,UNIDAD POR CHILE,servel_slot_camara_snapshot_concordance,medium,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1117,Cupo electoral Servel 2025 y partido reportado por la Cámara el 02-09-2026 coinciden. Estado de inicio congelado con confianza media hasta verificación biográfica directa.,2026-09-02
1119,Sara Concha Smith,2026-03-11,Partido Social Cristiano,PARTIDO SOCIAL CRISTIANO,CAMBIO POR CHILE,servel_slot_camara_snapshot_concordance,medium,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1119,Cupo electoral Servel 2025 y partido reportado por la Cámara el 02-09-2026 coinciden. Estado de inicio congelado con confianza media hasta verificación biográfica directa.,2026-09-02
1122,Luis Alberto Cuello Peña y Lillo,2026-03-11,Partido Comunista,PARTIDO COMUNISTA DE CHILE,UNIDAD POR CHILE,servel_slot_camara_snapshot_concordance,medium,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1122,Cupo electoral Servel 2025 y partido reportado por la Cámara el 02-09-2026 coinciden. Estado de inicio congelado con confianza media hasta verificación biográfica directa.,2026-09-02
1127,Lorena Fries Monleón,2026-03-11,Frente Amplio,FRENTE AMPLIO,UNIDAD POR CHILE,servel_slot_camara_snapshot_concordance,medium,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1127,Cupo electoral Servel 2025 y partido reportado por la Cámara el 02-09-2026 coinciden. Estado de inicio congelado con confianza media hasta verificación biográfica directa.,2026-09-02
1128,Ana María Gazmuri Vieira,2026-03-11,Partido Acción Humanista,PARTIDO ACCIÓN HUMANISTA,"VERDES, REGIONALISTAS Y HUMANISTAS",servel_slot_camara_snapshot_concordance,medium,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1128,Cupo electoral Servel 2025 y partido reportado por la Cámara el 02-09-2026 coinciden. Estado de inicio congelado con confianza media hasta verificación biográfica directa.,2026-09-02
1131,Mauro González Villarroel,2026-03-11,Renovación Nacional,RENOVACION NACIONAL,CHILE GRANDE Y UNIDO,servel_slot_camara_snapshot_concordance,medium,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1131,Cupo electoral Servel 2025 y partido reportado por la Cámara el 02-09-2026 coinciden. Estado de inicio congelado con confianza media hasta verificación biográfica directa.,2026-09-02
1132,Jorge Guzmán Zepeda,2026-03-11,Evolución Política,EVOLUCION POLITICA,CHILE GRANDE Y UNIDO,servel_slot_camara_snapshot_concordance,medium,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1132,Cupo electoral Servel 2025 y partido reportado por la Cámara el 02-09-2026 coinciden. Estado de inicio congelado con confianza media hasta verificación biográfica directa.,2026-09-02
1133,Juan Irarrázaval Rossel,2026-03-11,Partido Republicano,PARTIDO REPUBLICANO DE CHILE,CAMBIO POR CHILE,servel_slot_camara_snapshot_concordance,medium,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1133,Cupo electoral Servel 2025 y partido reportado por la Cámara el 02-09-2026 coinciden. Estado de inicio congelado con confianza media hasta verificación biográfica directa.,2026-09-02
1140,Daniel Lilayu Vivanco,2026-03-11,Unión Demócrata Independiente,UNION DEMOCRATA INDEPENDIENTE,CHILE GRANDE Y UNIDO,servel_slot_camara_snapshot_concordance,medium,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1140,Cupo electoral Servel 2025 y partido reportado por la Cámara el 02-09-2026 coinciden. Estado de inicio congelado con confianza media hasta verificación biográfica directa.,2026-09-02
1141,Luis Malla Valenzuela,2026-03-11,Partido Liberal de Chile,PARTIDO LIBERAL DE CHILE,UNIDAD POR CHILE,servel_slot_camara_snapshot_concordance,medium,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1141,Cupo electoral Servel 2025 y partido reportado por la Cámara el 02-09-2026 coinciden. Estado de inicio congelado con confianza media hasta verificación biográfica directa.,2026-09-02
1142,Daniel Manouchehri Lobos,2026-03-11,Partido Socialista,PARTIDO SOCIALISTA DE CHILE,UNIDAD POR CHILE,servel_slot_camara_snapshot_concordance,medium,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1142,Cupo electoral Servel 2025 y partido reportado por la Cámara el 02-09-2026 coinciden. Estado de inicio congelado con confianza media hasta verificación biográfica directa.,2026-09-02
1143,Cristóbal Martínez Ramírez,2026-03-11,Unión Demócrata Independiente,UNION DEMOCRATA INDEPENDIENTE,CHILE GRANDE Y UNIDO,servel_slot_camara_snapshot_concordance,medium,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1143,Cupo electoral Servel 2025 y partido reportado por la Cámara el 02-09-2026 coinciden. Estado de inicio congelado con confianza media hasta verificación biográfica directa.,2026-09-02
1146,José Carlos Meza Pereira,2026-03-11,Partido Republicano,PARTIDO REPUBLICANO DE CHILE,CAMBIO POR CHILE,servel_slot_camara_snapshot_concordance,medium,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1146,Cupo electoral Servel 2025 y partido reportado por la Cámara el 02-09-2026 coinciden. Estado de inicio congelado con confianza media hasta verificación biográfica directa.,2026-09-02
1148,Javiera Morales Alvarado,2026-03-11,Frente Amplio,FRENTE AMPLIO,UNIDAD POR CHILE,servel_slot_camara_snapshot_concordance,medium,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1148,Cupo electoral Servel 2025 y partido reportado por la Cámara el 02-09-2026 coinciden. Estado de inicio congelado con confianza media hasta verificación biográfica directa.,2026-09-02
1150,Benjamín Moreno Bascur,2026-03-11,Partido Republicano,PARTIDO REPUBLICANO DE CHILE,CAMBIO POR CHILE,servel_slot_camara_snapshot_concordance,medium,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1150,Cupo electoral Servel 2025 y partido reportado por la Cámara el 02-09-2026 coinciden. Estado de inicio congelado con confianza media hasta verificación biográfica directa.,2026-09-02
1152,Gloria Naveillan Arriagada,2026-03-11,Partido Nacional Libertario,PARTIDO NACIONAL LIBERTARIO,CAMBIO POR CHILE,servel_slot_camara_snapshot_concordance,medium,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1152,Cupo electoral Servel 2025 y partido reportado por la Cámara el 02-09-2026 coinciden. Estado de inicio congelado con confianza media hasta verificación biográfica directa.,2026-09-02
