deputy_id,deputy_name,valid_from,valid_to,party,caucus,alignment,basis,confidence,date_precision,source_url,source_note,official_snapshot_conflict
1107,María Francisca Bello Campos,2026-03-11,,Frente Amplio,Frente Amplio,oposicion,current_snapshot_assumed_stable,provisional,term_assumption,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1107,Sin cambio 2026 documentado todavía; se validará contra afiliación electoral de 2025.,0
1108,Juan Carlos Beltrán Silva,2026-03-11,,Renovación Nacional,"Renovación Nacional, Evopoli e Independientes",oficialismo,current_snapshot_assumed_stable,provisional,term_assumption,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1108,Sin cambio 2026 documentado todavía; se validará contra afiliación electoral de 2025.,0
1110,Carlos Bianchi Chelech,2026-03-11,,Independientes,Partido Por la Democracia e Independientes,oposicion,current_snapshot_assumed_stable,provisional,term_assumption,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1110,Sin cambio 2026 documentado todavía; se validará contra afiliación electoral de 2025.,0
1114,Félix Bugueño Sotelo,2026-03-11,,Frente Amplio,Frente Amplio,oposicion,current_snapshot_assumed_stable,provisional,term_assumption,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1114,Sin cambio 2026 documentado todavía; se validará contra afiliación electoral de 2025.,0
1116,Felipe Camaño Cárdenas,2026-03-11,,Independientes,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes",oposicion,current_snapshot_assumed_stable,provisional,term_assumption,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1116,Sin cambio 2026 documentado todavía; se validará contra afiliación electoral de 2025.,0
1117,Nathalie Castillo Rojas,2026-03-11,,Partido Comunista,Comité Comunista e Independientes,oposicion,current_snapshot_assumed_stable,provisional,term_assumption,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1117,Sin cambio 2026 documentado todavía; se validará contra afiliación electoral de 2025.,0
1119,Sara Concha Smith,2026-03-11,2026-06-05,Partido Social Cristiano,Por definir,oficialismo,documented_event_chain,high,day,https://www.latercera.com/politica/noticia/partido-cristiano-de-chile-realiza-lanzamiento-oficial-tras-reunir-firmas-para-su-inscripcion-ante-el-servel/,Estado anterior reconstruido a partir del primer cambio documentado.,0
1119,Sara Concha Smith,2026-06-06,,Partido Cristiano de Chile,Por definir,oficialismo,documented_event_chain,high,day,https://www.latercera.com/politica/noticia/partido-cristiano-de-chile-realiza-lanzamiento-oficial-tras-reunir-firmas-para-su-inscripcion-ante-el-servel/,Participa en el lanzamiento del Partido Cristiano de Chile como continuidad política del disuelto Partido Social Cristiano. La ficha de Cámara aún puede conservar la etiqueta anterior. | Conflicto con snapshot oficial: party: Cámara=Partido Social Cristiano / evidencia=Partido Cristiano de Chile,1
1122,Luis Alberto Cuello Peña y Lillo,2026-03-11,,Partido Comunista,Comité Comunista e Independientes,oposicion,current_snapshot_assumed_stable,provisional,term_assumption,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1122,Sin cambio 2026 documentado todavía; se validará contra afiliación electoral de 2025.,0
1127,Lorena Fries Monleón,2026-03-11,,Frente Amplio,Frente Amplio,oposicion,current_snapshot_assumed_stable,provisional,term_assumption,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1127,Sin cambio 2026 documentado todavía; se validará contra afiliación electoral de 2025.,0
1128,Ana María Gazmuri Vieira,2026-03-11,,Partido Acción Humanista,Comité Comunista e Independientes,oposicion,current_snapshot_assumed_stable,provisional,term_assumption,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1128,Sin cambio 2026 documentado todavía; se validará contra afiliación electoral de 2025.,0
1131,Mauro González Villarroel,2026-03-11,,Renovación Nacional,"Renovación Nacional, Evopoli e Independientes",oficialismo,current_snapshot_assumed_stable,provisional,term_assumption,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1131,Sin cambio 2026 documentado todavía; se validará contra afiliación electoral de 2025.,0
1132,Jorge Guzmán Zepeda,2026-03-11,,Evolución Política,"Renovación Nacional, Evopoli e Independientes",oficialismo,current_snapshot_assumed_stable,provisional,term_assumption,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1132,Sin cambio 2026 documentado todavía; se validará contra afiliación electoral de 2025.,0
1133,Juan Irarrázaval Rossel,2026-03-11,,Partido Republicano,Comité Partido Republicano,oficialismo,current_snapshot_assumed_stable,provisional,term_assumption,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1133,Sin cambio 2026 documentado todavía; se validará contra afiliación electoral de 2025.,0
1140,Daniel Lilayu Vivanco,2026-03-11,,Unión Demócrata Independiente,Unión Demócrata Independiente,oficialismo,current_snapshot_assumed_stable,provisional,term_assumption,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1140,Sin cambio 2026 documentado todavía; se validará contra afiliación electoral de 2025.,0
1141,Luis Malla Valenzuela,2026-03-11,,Partido Liberal de Chile,"Socialista, Liberal, Radical e Independientes",oposicion,current_snapshot_assumed_stable,provisional,term_assumption,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1141,Sin cambio 2026 documentado todavía; se validará contra afiliación electoral de 2025.,0
1142,Daniel Manouchehri Lobos,2026-03-11,,Partido Socialista,"Socialista, Liberal, Radical e Independientes",oposicion,current_snapshot_assumed_stable,provisional,term_assumption,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1142,Sin cambio 2026 documentado todavía; se validará contra afiliación electoral de 2025.,0
1143,Cristóbal Martínez Ramírez,2026-03-11,,Unión Demócrata Independiente,Unión Demócrata Independiente,oficialismo,current_snapshot_assumed_stable,provisional,term_assumption,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1143,Sin cambio 2026 documentado todavía; se validará contra afiliación electoral de 2025.,0
1146,José Carlos Meza Pereira,2026-03-11,,Partido Republicano,Comité Partido Republicano,oficialismo,current_snapshot_assumed_stable,provisional,term_assumption,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1146,Sin cambio 2026 documentado todavía; se validará contra afiliación electoral de 2025.,0
1148,Javiera Morales Alvarado,2026-03-11,,Frente Amplio,Frente Amplio,oposicion,current_snapshot_assumed_stable,provisional,term_assumption,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1148,Sin cambio 2026 documentado todavía; se validará contra afiliación electoral de 2025.,0
1150,Benjamín Moreno Bascur,2026-03-11,,Partido Republicano,Comité Partido Republicano,oficialismo,current_snapshot_assumed_stable,provisional,term_assumption,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1150,Sin cambio 2026 documentado todavía; se validará contra afiliación electoral de 2025.,0
