deputy_id,deputy_name,district,electoral_party_slot,electoral_pact,current_party_camara,current_caucus_camara,comparison_status,has_documented_2026_event,event_dates,baseline_action,review_priority
1073,Juan Santana Castillo,4,PARTIDO SOCIALISTA DE CHILE,UNIDAD POR CHILE,Partido Socialista,"Socialista, Liberal, Radical e Independientes",slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1075,Diego Schalper Sepúlveda,11,RENOVACION NACIONAL,CHILE GRANDE Y UNIDO,Renovación Nacional,"Renovación Nacional, Evopoli e Independientes",slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1077,Raúl Soto Mardones,15,PARTIDO POR LA DEMOCRACIA,UNIDAD POR CHILE,Partido Por la Democracia,Partido Por la Democracia e Independientes,slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1082,Cristóbal Urruticoechea Ríos,21,PARTIDO NACIONAL LIBERTARIO,CAMBIO POR CHILE,Partido Nacional Libertario,Comité Partido Nacional Libertarios,slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1086,Gonzalo Winter Etcheberry,10,FRENTE AMPLIO,UNIDAD POR CHILE,Frente Amplio,Frente Amplio,slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1087,Gael Yeomans Araya,13,FRENTE AMPLIO,UNIDAD POR CHILE,Frente Amplio,Frente Amplio,slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1100,Cristián Araya Lerdo de Tejada,11,PARTIDO REPUBLICANO DE CHILE,CAMBIO POR CHILE,Partido Republicano,Comité Partido Republicano,slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1104,Chiara Barchiesi Chávez,6,PARTIDO REPUBLICANO DE CHILE,CAMBIO POR CHILE,Partido Republicano,Comité Partido Republicano,slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1105,Héctor Barría Angulo,25,PARTIDO DEMOCRATA CRISTIANO,UNIDAD POR CHILE,Partido Demócrata Cristiano,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes",slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1107,María Francisca Bello Campos,6,FRENTE AMPLIO,UNIDAD POR CHILE,Frente Amplio,Frente Amplio,slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1108,Juan Carlos Beltrán Silva,22,RENOVACION NACIONAL,CHILE GRANDE Y UNIDO,Renovación Nacional,"Renovación Nacional, Evopoli e Independientes",slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1110,Carlos Bianchi Chelech,28,INDEPENDIENTES,CANDIDATURA INDEPENDIENTE,Independientes,Partido Por la Democracia e Independientes,slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1114,Félix Bugueño Sotelo,16,FRENTE AMPLIO,UNIDAD POR CHILE,Frente Amplio,Frente Amplio,slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1117,Nathalie Castillo Rojas,5,PARTIDO COMUNISTA DE CHILE,UNIDAD POR CHILE,Partido Comunista,Comité Comunista e Independientes,slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1119,Sara Concha Smith,19,PARTIDO SOCIAL CRISTIANO,CAMBIO POR CHILE,Partido Social Cristiano,Por definir,slot_coincide_partido_actual,1,2026-06-06,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1122,Luis Alberto Cuello Peña y Lillo,7,PARTIDO COMUNISTA DE CHILE,UNIDAD POR CHILE,Partido Comunista,Comité Comunista e Independientes,slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1127,Lorena Fries Monleón,10,FRENTE AMPLIO,UNIDAD POR CHILE,Frente Amplio,Frente Amplio,slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1128,Ana María Gazmuri Vieira,12,PARTIDO ACCIÓN HUMANISTA,"VERDES, REGIONALISTAS Y HUMANISTAS",Partido Acción Humanista,Comité Comunista e Independientes,slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1131,Mauro González Villarroel,26,RENOVACION NACIONAL,CHILE GRANDE Y UNIDO,Renovación Nacional,"Renovación Nacional, Evopoli e Independientes",slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1132,Jorge Guzmán Zepeda,17,EVOLUCION POLITICA,CHILE GRANDE Y UNIDO,Evolución Política,"Renovación Nacional, Evopoli e Independientes",slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1133,Juan Irarrázaval Rossel,14,PARTIDO REPUBLICANO DE CHILE,CAMBIO POR CHILE,Partido Republicano,Comité Partido Republicano,slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1140,Daniel Lilayu Vivanco,25,UNION DEMOCRATA INDEPENDIENTE,CHILE GRANDE Y UNIDO,Unión Demócrata Independiente,Unión Demócrata Independiente,slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1141,Luis Malla Valenzuela,1,PARTIDO LIBERAL DE CHILE,UNIDAD POR CHILE,Partido Liberal de Chile,"Socialista, Liberal, Radical e Independientes",slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1142,Daniel Manouchehri Lobos,5,PARTIDO SOCIALISTA DE CHILE,UNIDAD POR CHILE,Partido Socialista,"Socialista, Liberal, Radical e Independientes",slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1143,Cristóbal Martínez Ramírez,19,UNION DEMOCRATA INDEPENDIENTE,CHILE GRANDE Y UNIDO,Unión Demócrata Independiente,Unión Demócrata Independiente,slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1146,José Carlos Meza Pereira,9,PARTIDO REPUBLICANO DE CHILE,CAMBIO POR CHILE,Partido Republicano,Comité Partido Republicano,slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1148,Javiera Morales Alvarado,28,FRENTE AMPLIO,UNIDAD POR CHILE,Frente Amplio,Frente Amplio,slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1150,Benjamín Moreno Bascur,17,PARTIDO REPUBLICANO DE CHILE,CAMBIO POR CHILE,Partido Republicano,Comité Partido Republicano,slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
1152,Gloria Naveillan Arriagada,22,PARTIDO NACIONAL LIBERTARIO,CAMBIO POR CHILE,Partido Nacional Libertario,Comité Partido Nacional Libertarios,slot_coincide_partido_actual,0,,validar_partido_desde_inicio_sujeto_a_estatus_juridico,baja
