"diputado_id","diputado_nombre","dimension_1_z_early","rank_aligned_early","binary_votes_selected_early","dimension_1_z_late","rank_aligned_late","binary_votes_selected_late","comparison","delta_z_late_minus_early","abs_delta_z","rank_change_late_minus_early","abs_rank_change"
"1122","Luis Alberto Cuello Peña y Lillo",1.79697801499859,151,132,1.38008153936344,146,131,"raw_halves",-0.416896475635142,0.416896475635142,-5,5
"1211","Sofía González Cortés",1.80502657060544,154,133,1.39725976793642,151,132,"raw_halves",-0.407766802669022,0.407766802669022,-3,3
"1170","Luis Sánchez Ossa",-0.920575625610012,30,138,-1.32793717719433,25,121,"raw_halves",-0.407361551584313,0.407361551584313,-5,5
"1199","Jaime Coloma Álamos",-1.00463775096717,14,131,-0.610147354256527,53,133,"raw_halves",0.394490396710646,0.394490396710646,39,39
"1104","Chiara Barchiesi Chávez",-0.918043900295328,47,134,-1.30543042464252,27,125,"raw_halves",-0.387386524347188,0.387386524347188,-20,20
"1263","Sebastián Zamora Soto",-0.920575625610012,45,138,-1.30147300736547,29,120,"raw_halves",-0.380897381755456,0.380897381755456,-16,16
"1242","Rodrigo Ramírez Parra",-0.945340332048223,18,132,-0.569457889532634,60,131,"raw_halves",0.375882442515589,0.375882442515589,42,42
"1017","Álvaro Carter Fernández",-0.920701223327021,24,137,-1.28372456000705,30,118,"raw_halves",-0.363023336680029,0.363023336680029,6,6
"1251","Macarena Santelices Cañas",-0.920575625610012,41,138,-1.26808155519919,31,127,"raw_halves",-0.34750592958918,0.34750592958918,-10,10
"1183","Flor Weisse Novoa",-0.87103507855321,56,74,-0.535060109755306,66,119,"raw_halves",0.335974968797905,0.335974968797905,10,10
"1157","Marlene Pérez Cartes",-0.806557820399695,62,128,-0.473504183016377,75,90,"raw_halves",0.333053637383318,0.333053637383318,13,13
"1075","Diego Schalper Sepúlveda",-0.945332111485138,19,131,-0.618614763754473,52,117,"raw_halves",0.326717347730665,0.326717347730665,33,33
"1233","Ricardo Neumann Bertín",-0.982428390955295,17,130,-0.662175732265076,46,132,"raw_halves",0.320252658690219,0.320252658690219,29,29
"1255","Eileen Urqueta Rojas",0.517303406893846,92,133,0.201214256582913,86,130,"raw_halves",-0.316089150310933,0.316089150310933,-6,6
"1152","Gloria Naveillan Arriagada",-0.994892533574209,15,126,-0.679663293842268,42,118,"raw_halves",0.315229239731941,0.315229239731941,27,27
"1248","Felipe Ross Correa",-1.68657248053493,1,132,-1.37890583506407,9,133,"raw_halves",0.30766664547086,0.30766664547086,8,8
"1176","Hotuiti Teao Drago",-0.850509789338409,58,125,-0.54947831344568,64,95,"raw_halves",0.301031475892729,0.301031475892729,6,6
"1060","Luis Pardo Sáinz",-0.838244709215467,60,134,-0.542747795564945,65,127,"raw_halves",0.295496913650522,0.295496913650522,5,5
"1059","Ximena Ossandón Irarrázabal",-0.876093534410071,53,124,-0.591783216454415,55,129,"raw_halves",0.284310317955657,0.284310317955657,2,2
"1065","Guillermo Ramírez Diez",-0.935639027030221,21,132,-0.656690760636235,48,117,"raw_halves",0.278948266393986,0.278948266393986,27,27
"1231","Ximena Naranjo Pinto",-0.789989691732755,64,132,-0.51437528291711,69,126,"raw_halves",0.275614408815644,0.275614408815644,5,5
"1143","Cristóbal Martínez Ramírez",-0.837307044734965,61,136,-0.561954604917758,61,131,"raw_halves",0.275352439817207,0.275352439817207,0,0
