author_id,author_name,author_chamber,authored_bills,coauthored_bills,solo_bills,unique_coauthors,weighted_degree
1343,Esteban Velásquez Núñez,Senador,10,10,0,12,22
1325,Fabiola Campillai Rojas,Senador,7,5,2,9,15
1329,Fidel Espinoza Sandoval,Senador,9,9,0,23,35
1222,Francisco Huenchumilla Jaramillo,Senador,2,2,0,7,7
1339,Gastón Saavedra Chandía,Senador,35,35,0,37,131
1340,Gustavo Sanhueza Dueñas,Senador,9,9,0,21,35
1517,Ignacio Urrutia Bonilla,Senador,13,13,0,11,49
1330,Iván Flores García,Senador,22,22,0,24,82
1117,Iván Moreira Barros,Senador,29,29,0,27,116
1335,Javier Macaya Danús,Senador,9,9,0,20,36
1326,Juan Luis Castro González,Senador,19,19,0,26,71
1324,Karim Bianchi Retamales,Senador,23,21,2,24,78
1504,Karol Cariola Oliva,Senador,2,2,0,5,8
1320,Loreto Carvajal Ambiado,Senador,5,5,0,13,18
1327,Luciano Cruz-Coke Carvallo,Senador,6,6,0,17,24
1120,Manuel José Ossandón Irarrázabal,Senador,11,11,0,19,42
1332,María José Gatica Bertin,Senador,12,12,0,22,33
1344,Matías Walker Prieto,Senador,13,13,0,22,48
1502,Miguel Ángel Becker Alvear,Senador,16,16,0,28,57
1503,Miguel Ángel Calisto Águila,Senador,13,13,0,24,45
1337,Paulina Núñez Urrutia,Senador,51,51,0,35,192
1450,Paulina Vodanovic Rojas,Senador,20,20,0,27,76
1110,Pedro Araya Guerrero,Senador,10,8,2,16,31
1516,Renzo Trisotti Martínez,Senador,14,14,0,19,55
1506,Ricardo Celis Araya,Senador,5,5,0,12,19
1505,Rodolfo Carter Fernández,Senador,13,13,0,13,50
1328,Rojo Edwards,Senador,5,5,0,14,19
1333,Sebastián Keitel Bianchi,Senador,8,8,0,21,32
1331,Sergio Gahona Salazar,Senador,11,10,1,16,39
1510,Vanessa Kaiser Barents-Von Hohenhagen,Senador,9,9,0,18,34
1513,Vlado Mirosevic Verdugo,Senador,4,3,1,7,9
1224,Ximena Ordenes Neira,Senador,13,13,0,28,49
1215,Yasna Provoste Campillay,Senador,7,7,0,17,22
