project_id,boletin,titulo,fecha_ingreso,origen_iniciativa,tipo_iniciativa,tipo_iniciativa_codigo,camara_origen,camara_origen_codigo,admisible,estado_actual,source_url,updated_at
18959,18281-15,Modifica la Ley de Tránsito para establecer una excepción acotada a la restricción vehicular respecto de vehículos destinados al funcionamiento de ferias libres legalmente autorizadas,2026-05-14,parlamentario,Moción,2,Cámara de Diputados,1,true,Primer trámite constitucional,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18959&prmBOLETIN=18281-15,2026-09-02T15:26:00Z
18960,18282-07,"Modifica el Código Penal para sancionar toda forma de instrumentalización de niños, niñas y adolescentes para cometer delitos",2026-05-15,parlamentario,Moción,2,Cámara de Diputados,1,true,Primer trámite constitucional,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18960&prmBOLETIN=18282-07,2026-09-02T15:26:00Z
18957,18283-35,Dispone como beneficiarios de la cuota preferente de inclusión laboral a las y los cuidadores no remunerados y otras personas que indica,2026-05-15,parlamentario,Moción,2,Cámara de Diputados,1,true,Primer trámite constitucional,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18957&prmBOLETIN=18283-35,2026-09-02T15:26:00Z
18968,18284-29,"Establece medidas de control, prohibición y resguardo de la integridad deportiva respecto de plataformas de apuestas en línea no autorizadas",2026-05-17,parlamentario,Moción,2,Cámara de Diputados,1,true,Primer trámite constitucional,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18968&prmBOLETIN=18284-29,2026-09-02T15:26:00Z
18918,18255-31,Establece un beneficio de compensación por la compra de pañales y de medicamentos,2026-05-18,ejecutivo,Mensaje,1,Cámara de Diputados,1,true,Primer trámite constitucional,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18918&prmBOLETIN=18255-31,2026-09-02T15:26:00Z
18919,18256-10,"Aprueba el Acuerdo entre la República de Chile y la República Helénica sobre el empleo remunerado de dependientes de miembros de una misión diplomática o representación consular, suscrito en Santiago, el 24 de abril de 2024",2026-05-18,ejecutivo,Mensaje,1,Cámara de Diputados,1,true,Trámite finalización en Cámara de Origen,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18919&prmBOLETIN=18256-10,2026-09-02T15:26:00Z
18920,18257-10,"Aprueba el Acuerdo general sobre los privilegios e inmunidades de la Organización Internacional de Policía Criminal-INTERPOL, aprobado en Marrakech, Marruecos, el 24 de noviembre de 2025",2026-05-18,ejecutivo,Mensaje,1,Cámara de Diputados,1,true,Tramitación terminada ( - D.Oficial ),https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18920&prmBOLETIN=18257-10,2026-09-02T15:26:00Z
18921,18258-07,"Modifica la ley N°18.415, orgánica constitucional de los estados de excepción, en materia de control de identidad y otros",2026-05-18,ejecutivo,Mensaje,1,Cámara de Diputados,1,true,Segundo trámite constitucional,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18921&prmBOLETIN=18258-07,2026-09-02T15:26:00Z
18922,18259-08,"Modifica el Código de Minería y las leyes números 21.420 y 21.649, en materia de amparo minero y otras materias que indica",2026-05-18,ejecutivo,Mensaje,1,Cámara de Diputados,1,true,Segundo trámite constitucional,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18922&prmBOLETIN=18259-08,2026-09-02T15:26:00Z
18958,18285-05,Modifica los cuerpos legales que indica para fortalecer la publicidad y transparencia en materia de modificación presupuestaria,2026-05-18,parlamentario,Moción,2,Cámara de Diputados,1,true,Primer trámite constitucional,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18958&prmBOLETIN=18285-05,2026-09-02T15:26:00Z
18964,18290-15,Establece una exención del pago de peajes en situaciones de emergencia que indica,2026-05-18,parlamentario,Moción,2,Cámara de Diputados,1,true,Primer trámite constitucional,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18964&prmBOLETIN=18290-15,2026-09-02T15:26:00Z
18923,18260-07,"Crea los Tribunales de Familia, con el objeto de establecer un procedimiento especial para la determinación de la responsabilidad parental en el caso de daños provocados por niños, niñas y adolescentes.",2026-05-19,parlamentario,Moción,2,Senado,2,true,Primer trámite constitucional,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18923&prmBOLETIN=18260-07,2026-09-02T15:26:00Z
