boletin,author_order,author_id,author_name,author_chamber
18210-06,0,1217,Pier Karlezi Hazleby,Diputado
18210-06,0,1223,Hans Marowski Cuevas,Diputado
18210-06,0,1235,Javier Olivares Avendaño,Diputado
18210-06,0,1238,Álvaro Ortiz Vera,Diputado
18210-06,0,1249,Omar Sabat Guzmán,Diputado
18211-25,0,1193,Patricio Briones Moller,Diputado
18211-25,0,1235,Javier Olivares Avendaño,Diputado
18211-25,0,1236,Paula Olmos Contreras,Diputado
18211-25,0,1243,Tamara Ramírez Ramírez,Diputado
18211-25,0,1258,Guillermo Valdés Carmona,Diputado
18211-25,0,1259,Juan Marcelo Valenzuela Henríquez,Diputado
18212-07,0,1193,Patricio Briones Moller,Diputado
18212-07,0,1217,Pier Karlezi Hazleby,Diputado
18212-07,0,1235,Javier Olivares Avendaño,Diputado
18212-07,0,1236,Paula Olmos Contreras,Diputado
18212-07,0,1243,Tamara Ramírez Ramírez,Diputado
18212-07,0,1258,Guillermo Valdés Carmona,Diputado
18212-07,0,1259,Juan Marcelo Valenzuela Henríquez,Diputado
18213-07,0,1012,Boris Barrera Moreno,Diputado
18213-07,0,1073,Juan Santana Castillo,Diputado
18213-07,0,1087,Gael Yeomans Araya,Diputado
18213-07,0,1110,Carlos Bianchi Chelech,Diputado
18213-07,0,1122,Luis Alberto Cuello Peña y Lillo,Diputado
18213-07,0,1173,Daniela Serrano Salazar,Diputado
18213-07,0,1188,Marcos Barraza Gómez,Diputado
18213-07,0,1213,Irací Hassler Jacob,Diputado
18214-07,0,1073,Juan Santana Castillo,Diputado
18214-07,0,1122,Luis Alberto Cuello Peña y Lillo,Diputado
18214-07,0,1180,Consuelo Veloso Ávila,Diputado
18214-07,0,1186,Ignacio Achurra Díaz,Diputado
18214-07,0,1213,Irací Hassler Jacob,Diputado
18214-07,0,1260,César Valenzuela Maass,Diputado
18217-07,0,1117,Iván Moreira Barros,Senador
18217-07,0,1324,Karim Bianchi Retamales,Senador
18217-07,0,1330,Iván Flores García,Senador
18217-07,0,1337,Paulina Núñez Urrutia,Senador
18217-07,0,1508,Camila Flores Oporto,Senador
18218-25,0,1117,Iván Moreira Barros,Senador
18218-25,0,1324,Karim Bianchi Retamales,Senador
18218-25,0,1334,Alejandro Kusanovic Glusevic,Senador
18218-25,0,1337,Paulina Núñez Urrutia,Senador
18218-25,0,911,Carlos Ignacio Kuschel Silva,Senador
18219-07,0,1200,Cristian Contreras Radovic,Diputado
18220-07,0,1039,Pamela Jiles Moreno,Diputado
18220-07,0,1082,Cristóbal Urruticoechea Ríos,Diputado
18220-07,0,1152,Gloria Naveillan Arriagada,Diputado
18220-07,0,1178,Héctor Ulloa Aguilera,Diputado
18220-07,0,1202,Eduardo Cretton Rebolledo,Diputado
18220-07,0,1217,Pier Karlezi Hazleby,Diputado
18220-07,0,1223,Hans Marowski Cuevas,Diputado
18220-07,0,1228,Paulina Muñoz Minte,Diputado
18220-07,0,1237,Francisco Orrego Gutiérrez,Diputado
18221-11,0,1153,Coca Ericka Ñanco Vásquez,Diputado
18221-11,0,1180,Consuelo Veloso Ávila,Diputado
18222-06,0,1059,Ximena Ossandón Irarrázabal,Diputado
18222-06,0,1061,Andrea Parra Sauterel,Diputado
18222-06,0,1177,Carolina Tello Rojas,Diputado
18222-06,0,1206,Carolina Cucumides Calderón,Diputado
18222-06,0,1240,Zandra Parisi Fernández,Diputado
18222-06,0,986,Marcela Hernando Pérez,Diputado
18223-15,0,1013,Alejandro Bernales Maldonado,Diputado
18223-15,0,1116,Felipe Camaño Cárdenas,Diputado
18223-15,0,1175,Cristián Tapia Ramos,Diputado
18223-15,0,1217,Pier Karlezi Hazleby,Diputado
18223-15,0,1241,Patricio Pinilla Valencia,Diputado
18224-18,0,1086,Gonzalo Winter Etcheberry,Diputado
18224-18,0,1099,Jaime Araya Guerrero,Diputado
18224-18,0,1127,Lorena Fries Monleón,Diputado
18224-18,0,1128,Ana María Gazmuri Vieira,Diputado
18224-18,0,1141,Luis Malla Valenzuela,Diputado
18224-18,0,1209,Matías Fernández Hartwig,Diputado
18224-18,0,1222,Andrea Macías Palma,Diputado
18224-18,0,1224,Cristian Mella Andaur,Diputado
18224-18,0,1226,José Montalva Feuerhake,Diputado
18224-18,0,1240,Zandra Parisi Fernández,Diputado
18225-07,0,1013,Alejandro Bernales Maldonado,Diputado
18225-07,0,1141,Luis Malla Valenzuela,Diputado
18225-07,0,1182,Sebastián Videla Castillo,Diputado
18225-07,0,986,Marcela Hernando Pérez,Diputado
18226-15,0,1140,Daniel Lilayu Vivanco,Diputado
18226-15,0,1143,Cristóbal Martínez Ramírez,Diputado
18226-15,0,1157,Marlene Pérez Cartes,Diputado
18226-15,0,1174,Marco Antonio Sulantay Olivares,Diputado
18226-15,0,1176,Hotuiti Teao Drago,Diputado
18226-15,0,1183,Flor Weisse Novoa,Diputado
18226-15,0,1231,Ximena Naranjo Pinto,Diputado
18226-15,0,1234,Mario Olavarría Rodríguez,Diputado
18226-15,0,1249,Omar Sabat Guzmán,Diputado
18226-15,0,1257,Alejandra Valdebenito Torres,Diputado
18227-11,0,1065,Guillermo Ramírez Diez,Diputado
18227-11,0,1140,Daniel Lilayu Vivanco,Diputado
18227-11,0,1143,Cristóbal Martínez Ramírez,Diputado
18227-11,0,1157,Marlene Pérez Cartes,Diputado
18227-11,0,1166,Natalia Romero Talguia,Diputado
18227-11,0,1174,Marco Antonio Sulantay Olivares,Diputado
18227-11,0,1176,Hotuiti Teao Drago,Diputado
18227-11,0,1199,Jaime Coloma Álamos,Diputado
18227-11,0,1249,Omar Sabat Guzmán,Diputado
18227-11,0,1257,Alejandra Valdebenito Torres,Diputado
18228-04,0,1086,Gonzalo Winter Etcheberry,Diputado
18228-04,0,1087,Gael Yeomans Araya,Diputado
18228-04,0,1107,María Francisca Bello Campos,Diputado
18228-04,0,1153,Coca Ericka Ñanco Vásquez,Diputado
18228-04,0,1171,Emilia Schneider Videla,Diputado
18228-04,0,1177,Carolina Tello Rojas,Diputado
