diputado_id,diputado_nombre,opportunity_rollcalls,rollcalls_total,first_opportunity_date,last_opportunity_date,n_affirmative,n_against,n_abstention,n_no_vote,n_excused,n_substantive,substantive_participation_pct,n_binary,binary_participation_pct
1219,Tomás Kast Sommerhoff,364,364,2026-03-18,2026-09-01,242,92,3,21,6,337,92.5824,334,91.7582
1220,Leandro Kunstmann Collado,364,364,2026-03-18,2026-09-01,253,101,9,1,0,363,99.7253,354,97.2527
1221,Benjamín Lorca Inzunza,364,364,2026-03-18,2026-09-01,251,101,9,3,0,361,99.1758,352,96.7033
1222,Andrea Macías Palma,364,364,2026-03-18,2026-09-01,188,142,20,14,0,350,96.1538,330,90.6593
1223,Hans Marowski Cuevas,364,364,2026-03-18,2026-09-01,230,101,6,27,0,337,92.5824,331,90.9341
1224,Cristian Mella Andaur,364,364,2026-03-18,2026-09-01,264,81,15,4,0,360,98.9011,345,94.7802
1225,Cristian Menchaca Pinochet,364,364,2026-03-18,2026-09-01,245,96,8,15,0,349,95.8791,341,93.6813
1226,José Montalva Feuerhake,364,364,2026-03-18,2026-09-01,246,103,12,3,0,361,99.1758,349,95.8791
1227,Claudia Mora Vega,364,364,2026-03-18,2026-09-01,255,94,13,2,0,362,99.4505,349,95.8791
1228,Paulina Muñoz Minte,364,364,2026-03-18,2026-09-01,250,108,6,0,0,364,100.0000,358,98.3516
1229,Javier Muñoz Riquelme,364,364,2026-03-18,2026-09-01,257,79,15,2,11,351,96.4286,336,92.3077
1230,Alex Nahuelquin Nahuelquin,364,364,2026-03-18,2026-09-01,267,75,18,4,0,360,98.9011,342,93.9560
1231,Ximena Naranjo Pinto,364,364,2026-03-18,2026-09-01,260,86,18,0,0,364,100.0000,346,95.0549
1232,Cristian Neira Martínez,364,364,2026-03-18,2026-09-01,248,100,12,4,0,360,98.9011,348,95.6044
1233,Ricardo Neumann Bertín,364,364,2026-03-18,2026-09-01,248,95,14,7,0,357,98.0769,343,94.2308
1234,Mario Olavarría Rodríguez,364,364,2026-03-18,2026-09-01,201,87,5,71,0,293,80.4945,288,79.1209
1235,Javier Olivares Avendaño,364,364,2026-03-18,2026-09-01,263,92,9,0,0,364,100.0000,355,97.5275
1236,Paula Olmos Contreras,364,364,2026-03-18,2026-09-01,183,96,12,73,0,291,79.9451,279,76.6484
1237,Francisco Orrego Gutiérrez,364,364,2026-03-18,2026-09-01,257,90,16,1,0,363,99.7253,347,95.3297
1238,Álvaro Ortiz Vera,364,364,2026-03-18,2026-09-01,259,88,17,0,0,364,100.0000,347,95.3297
1239,Fabián Ossandón Briceño,364,364,2026-03-18,2026-09-01,213,114,19,18,0,346,95.0549,327,89.8352
1240,Zandra Parisi Fernández,364,364,2026-03-18,2026-09-01,210,67,17,70,0,294,80.7692,277,76.0989
1241,Patricio Pinilla Valencia,364,364,2026-03-18,2026-09-01,241,95,23,5,0,359,98.6264,336,92.3077
1242,Rodrigo Ramírez Parra,364,364,2026-03-18,2026-09-01,251,95,9,9,0,355,97.5275,346,95.0549
1243,Tamara Ramírez Ramírez,364,364,2026-03-18,2026-09-01,214,125,16,9,0,355,97.5275,339,93.1319
1244,Claudia Reyes Larenas,364,364,2026-03-18,2026-09-01,242,95,9,18,0,346,95.0549,337,92.5824
1245,Alejandro Riquelme Ducci,364,364,2026-03-18,2026-09-01,248,96,10,10,0,354,97.2527,344,94.5055
1246,José Antonio Rivas Villalobos,364,364,2026-03-18,2026-09-01,200,130,12,22,0,342,93.9560,330,90.6593
1247,Javiera Rodríguez Pascual,364,364,2026-03-18,2026-09-01,254,101,9,0,0,364,100.0000,355,97.5275
1248,Felipe Ross Correa,364,364,2026-03-18,2026-09-01,242,100,9,13,0,351,96.4286,342,93.9560
1249,Omar Sabat Guzmán,364,364,2026-03-18,2026-09-01,241,95,16,12,0,352,96.7033,336,92.3077
1250,Bernardo Salinas Maya,364,364,2026-03-18,2026-09-01,162,118,12,72,0,292,80.2198,280,76.9231
1251,Macarena Santelices Cañas,364,364,2026-03-18,2026-09-01,245,99,8,12,0,352,96.7033,344,94.5055
1252,Constanza Schonhaut Soto,364,364,2026-03-18,2026-09-01,186,150,13,15,0,349,95.8791,336,92.3077
1253,Fernando Ugarte Tejeda,364,364,2026-03-18,2026-09-01,253,101,9,1,0,363,99.7253,354,97.2527
