vote_id,fecha,boletin,diputado_id,diputado_nombre,opcion,opcion_codigo,party_at_vote,caucus_at_vote,alignment_at_vote,party_confidence,caucus_confidence,affiliation_confidence,party_basis,caucus_basis,affiliation_interval_from,affiliation_interval_to,affiliation_uncertain,uncertain_fields,uncertainty_window_start,uncertainty_window_end
88442,2026-03-18,16944-25,1173,Daniela Serrano Salazar,Afirmativo,1,Partido Comunista,Comité Comunista e Independientes,oposicion,medium,high,medium,servel_slot_camara_snapshot_concordance,party_to_caucus_plus_official_structure,2026-03-11,,0,,,
88442,2026-03-18,16944-25,1174,Marco Antonio Sulantay Olivares,Afirmativo,1,Unión Demócrata Independiente,Unión Demócrata Independiente,oficialismo,medium,high,medium,servel_slot_camara_snapshot_concordance,party_to_caucus_plus_official_structure,2026-03-11,,0,,,
88442,2026-03-18,16944-25,1175,Cristián Tapia Ramos,Afirmativo,1,Independientes,Partido Por la Democracia e Independientes,oposicion,high,medium,medium,bcn_biografia,independent_electoral_slot_plus_current_caucus_plus_size_closure,2026-03-11,,0,,,
88442,2026-03-18,16944-25,1176,Hotuiti Teao Drago,Afirmativo,1,Independientes,Unión Demócrata Independiente,oficialismo,high,medium,medium,bcn_biografia,independent_electoral_slot_plus_current_caucus_plus_size_closure,2026-03-11,,0,,,
88442,2026-03-18,16944-25,1177,Carolina Tello Rojas,Afirmativo,1,Frente Amplio,Frente Amplio,oposicion,medium,high,medium,servel_slot_camara_snapshot_concordance,party_to_caucus_plus_official_structure,2026-03-11,,0,,,
88442,2026-03-18,16944-25,1178,Héctor Ulloa Aguilera,Afirmativo,1,Independientes,Partido Por la Democracia e Independientes,oposicion,high,medium,medium,bcn_biografia,independent_electoral_slot_plus_current_caucus_plus_size_closure,2026-03-11,,0,,,
88442,2026-03-18,16944-25,1180,Consuelo Veloso Ávila,Afirmativo,1,Frente Amplio,Frente Amplio,oposicion,high,high,high,bcn_servel_militancia,party_to_caucus_plus_official_structure,2026-03-11,,0,,,
88442,2026-03-18,16944-25,1181,Nelson Venegas Salazar,No Vota,4,Partido Socialista,"Socialista, Liberal, Radical e Independientes",oposicion,medium,high,medium,servel_slot_camara_snapshot_concordance,party_to_caucus_plus_official_structure,2026-03-11,,0,,,
88442,2026-03-18,16944-25,1182,Sebastián Videla Castillo,No Vota,4,Independientes,"Socialista, Liberal, Radical e Independientes",oposicion,high,medium,medium,bcn_biografia,independent_electoral_slot_plus_current_caucus_plus_size_closure,2026-03-11,,0,,,
88442,2026-03-18,16944-25,1183,Flor Weisse Novoa,Afirmativo,1,Unión Demócrata Independiente,Unión Demócrata Independiente,oficialismo,medium,high,medium,servel_slot_camara_snapshot_concordance,party_to_caucus_plus_official_structure,2026-03-11,,0,,,
