vote_id,boletin,fecha,sesion_id,sesion_numero,descripcion,articulo,total_si,total_no,total_abstencion,total_dispensado,tipo_votacion,tipo_votacion_codigo,resultado,resultado_codigo,quorum,quorum_codigo,tipo_votacion_proyecto,tipo_votacion_proyecto_codigo,tramite_constitucional,tramite_constitucional_codigo,tramite_reglamentario,tramite_reglamentario_codigo,verificado_sala,verification_url
89473,18216-05,2026-07-21,4802,46,Boletín N°18216-05,"Enmiendas del Senado al artículo 6 del proyecto, cuya votación separada ha sido solicitada por las diputadas Serrano, Yeomans, Schneider, Gazmuri y Tello y de los diputados Leiva, Venegas, Malla, Soto, Díaz, Barría y Barraza; y que constan en las páginas 26 a 39 del comparado.",87,57,1,0,Proyecto de Ley,1,Aprobado,1,Quórum Simple,1,Única,6,Tercer Trámite,,Sin Informe,,1,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=89473
89474,18216-05,2026-07-21,4802,46,Boletín N°18216-05,"Enmienda del Senado que reemplaza el artículo 10 del proyecto, cuya votación separada ha sido solicitada por la diputada Gael Yeomans y el diputado Daniel Manouchehri, y que consta en las páginas 265 a 290 del comparado.",98,46,0,0,Proyecto de Ley,1,Aprobado,1,Quórum Simple,1,Única,6,Tercer Trámite,,Sin Informe,,1,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=89474
89475,18216-05,2026-07-21,4802,46,Boletín N°18216-05,"Enmiendas del Senado al artículo 11 del proyecto, cuya votación separada ha sido solicitada por la diputada Yeomans y los diputados Leiva, Soto, Díaz y Pinilla; y que constan en las páginas 295 a 306 del comparado.",84,61,0,0,Proyecto de Ley,1,Aprobado,1,Quórum Simple,1,Única,6,Tercer Trámite,,Sin Informe,,1,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=89475
89476,18216-05,2026-07-21,4802,46,Boletín N°18216-05,"Enmienda del Senado que reemplaza el artículo 12 del proyecto, cuya votación separada ha sido solicitada por la diputada Yeomans y los diputados Leiva, Soto, Díaz, Manouchehri y Pinilla; y que consta en las páginas 316 a 319 del comparado.",84,61,0,0,Proyecto de Ley,1,Aprobado,1,Quórum Simple,1,Única,6,Tercer Trámite,,Sin Informe,,1,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=89476
89477,18216-05,2026-07-21,4802,46,Boletín N°18216-05,"Enmienda del Senado que reemplaza el artículo 13 del proyecto, cuya votación separada ha sido solicitada por la diputada Yeomans y los diputados Leiva, Soto, Díaz, Manouchehri y Pinilla; y que consta en las páginas 320 a 322 del comparado. Cabe hacer presente, que el inciso cuarto de este artículo requiere para su aprobación del voto favorable de 78 diputadas y diputados, por tratarse de una norma de rango orgánico constitucional.",81,64,0,0,Proyecto de Ley,1,Aprobado,1,Quórum Simple,1,Única,6,Tercer Trámite,,Sin Informe,,1,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=89477
89478,18216-05,2026-07-21,4802,46,Boletín N°18216-05,"Enmienda del Senado que reemplaza el artículo 14 del proyecto, cuya votación separada ha sido solicitada por el diputado Daniel Manouchehri; que consta en las páginas 323 324 del comparado; y que requiere para su aprobación del voto favorable de 78 diputadas y diputados, por tratarse de una norma de rango orgánico constitucional.",81,63,0,0,Proyecto de Ley,1,Aprobado,1,Quórum Calificado,2,Única,6,Tercer Trámite,,Sin Informe,,1,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=89478
89479,18216-05,2026-07-21,4802,46,Boletín N°18216-05,"Enmienda del Senado que reemplaza el artículo 15 del proyecto, cuya votación separada ha sido solicitada por el diputado Daniel Manouchehri, y que consta en la página 324 del comparado.",81,64,0,0,Proyecto de Ley,1,Aprobado,1,Quórum Simple,1,Única,6,Tercer Trámite,,Sin Informe,,1,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=89479
89480,18216-05,2026-07-21,4802,46,Boletín N°18216-05,"Enmienda del Senado que reemplaza el artículo 16 del proyecto, cuya votación separada ha sido solicitada por el diputado Daniel Manouchehri, y que consta en las páginas 325 y 326 del comparado. Cabe hacer presente, que los incisos tercero y final de este artículo requieren para su aprobación del voto favorable de 78 diputadas y diputados, por tratarse de normas de rango orgánico constitucional.",83,62,0,0,Proyecto de Ley,1,Aprobado,1,Quórum Simple,1,Única,6,Tercer Trámite,,Sin Informe,,1,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=89480
89481,18216-05,2026-07-21,4802,46,Boletín N°18216-05,"Enmiendas del Senado al artículo 17 del proyecto, cuya votación separada ha sido solicitada por las diputadas Serrano, Yeomans, Schneider, Gazmuri y Tello y de los diputados Leiva, Venegas, Malla, Soto, Díaz, Barría y Barraza; que constan en las páginas 328 y 339 del comparado; y que requieren para su aprobación del voto favorable de 78 diputadas y diputados, por tratarse de normas de rango orgánico constitucional.",83,62,0,0,Proyecto de Ley,1,Aprobado,1,Quórum Calificado,2,Única,6,Tercer Trámite,,Sin Informe,,1,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=89481
89482,18216-05,2026-07-21,4802,46,Boletín N°18216-05,"Enmienda del Senado que reemplaza el número 2 del artículo 21 del proyecto, cuya votación separada ha sido solicitada por el diputado Daniel Manouchehri, y que consta en las páginas 361 y 362 del comparado.",98,47,0,0,Proyecto de Ley,1,Aprobado,1,Quórum Simple,1,Única,6,Tercer Trámite,,Sin Informe,,1,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=89482
