diputado_id,diputado_nombre,group_type,scope,min_chamber_binary_minority_share,comparisons,matches,divergences,agreement_pct,group_names_observed
1224,Cristian Mella Andaur,caucus,minority_ge_05,0.05,265,252,13,95.0943,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes"
1224,Cristian Mella Andaur,caucus,minority_ge_10,0.10,254,241,13,94.8819,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes"
1224,Cristian Mella Andaur,caucus,minority_ge_20,0.20,237,224,13,94.5148,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes"
1224,Cristian Mella Andaur,party,all,0.00,356,344,12,96.6292,Partido Demócrata Cristiano
1224,Cristian Mella Andaur,party,minority_ge_05,0.05,263,251,12,95.4373,Partido Demócrata Cristiano
1224,Cristian Mella Andaur,party,minority_ge_10,0.10,252,240,12,95.2381,Partido Demócrata Cristiano
1224,Cristian Mella Andaur,party,minority_ge_20,0.20,235,223,12,94.8936,Partido Demócrata Cristiano
1225,Cristian Menchaca Pinochet,caucus,all,0.00,349,348,1,99.7135,Comité Partido Republicano
1225,Cristian Menchaca Pinochet,caucus,minority_ge_05,0.05,259,259,0,100.0000,Comité Partido Republicano
1225,Cristian Menchaca Pinochet,caucus,minority_ge_10,0.10,248,248,0,100.0000,Comité Partido Republicano
1225,Cristian Menchaca Pinochet,caucus,minority_ge_20,0.20,231,231,0,100.0000,Comité Partido Republicano
1225,Cristian Menchaca Pinochet,party,all,0.00,0,0,0,,Independientes
1225,Cristian Menchaca Pinochet,party,minority_ge_05,0.05,0,0,0,,Independientes
1225,Cristian Menchaca Pinochet,party,minority_ge_10,0.10,0,0,0,,Independientes
1225,Cristian Menchaca Pinochet,party,minority_ge_20,0.20,0,0,0,,Independientes
1226,José Montalva Feuerhake,caucus,all,0.00,361,330,31,91.4127,Partido Por la Democracia e Independientes
1226,José Montalva Feuerhake,caucus,minority_ge_05,0.05,268,239,29,89.1791,Partido Por la Democracia e Independientes
1226,José Montalva Feuerhake,caucus,minority_ge_10,0.10,257,229,28,89.1051,Partido Por la Democracia e Independientes
