"spec_id","diputado_id","diputado_nombre","binary_votes_selected","dimension_1_raw","dimension_2_raw","se_1d","se_2d","gmp","correctly_classified"
"raw_lop025_2d","1256","Tatiana Urrutia Herrera",258,0.761902987957001,0.0962861999869347,0,0,0.960572779178619,0.996124031007752
"raw_lop025_2d","1257","Alejandra Valdebenito Torres",267,-0.785237491130829,-0.201068863272667,0,0,0.901980936527252,0.943820224719101
"raw_lop025_2d","1258","Guillermo Valdés Carmona",262,-0.0172716807574034,0.999850809574127,0,0,0.814867496490479,0.919847328244275
"raw_lop025_2d","1259","Juan Marcelo Valenzuela Henríquez",256,-0.216185182332993,0.794376373291016,0,0,0.880271911621094,0.96484375
"raw_lop025_2d","1260","César Valenzuela Maass",262,0.606497764587402,0.0287708416581154,0,0,0.929336428642273,0.99236641221374
"raw_lop025_2d","1261","Daniel Valenzuela Salazar",250,-0.868500649929047,-0.144271299242973,0,0,0.9580118060112,0.988
"raw_lop025_2d","1262","Diego Vergara Rodríguez",270,-0.987609386444092,0.156932473182678,0,0,0.983285069465637,0.996296296296296
"raw_lop025_2d","1263","Sebastián Zamora Soto",258,-0.985452353954315,0.169952154159546,0,0,0.984066843986511,0.996124031007752
"raw_lop025_2d","1264","Fernando Zamorano Peralta",255,0.402698040008545,-0.247230976819992,0,0,0.889656722545624,0.964705882352941
"raw_lop050_2d","803","René Alinco Bustos",215,0.2054044008255,-0.541171431541443,0,0,0.627111196517944,0.804651162790698
"raw_lop050_2d","815","Sergio Bobadilla Muñoz",260,-0.890220582485199,-0.0693150535225868,0,0,0.93981546163559,0.980769230769231
"raw_lop050_2d","843","René Manuel García García",220,-0.835867822170258,-0.133074387907982,0,0,0.91810667514801,0.972727272727273
"raw_lop050_2d","872","Jaime Mulet Martínez",242,0.177117481827736,-0.980646908283234,0,0,0.756323933601379,0.867768595041322
"raw_lop050_2d","915","Germán Verdugo Soto",250,-0.917188405990601,-0.227647885680199,0,0,0.925524234771729,0.972
"raw_lop050_2d","986","Marcela Hernando Pérez",207,0.298546075820923,-0.0966167375445366,0,0,0.843979001045227,0.927536231884058
"raw_lop050_2d","1009","Jorge Alessandri Vergara",244,-0.9028000831604,0.0264397747814655,0,0,0.965163469314575,0.991803278688525
"raw_lop050_2d","1012","Boris Barrera Moreno",263,0.943687796592712,0.330837547779083,0,0,0.972099661827087,0.988593155893536
"raw_lop050_2d","1013","Alejandro Bernales Maldonado",238,0.227789044380188,-0.270590096712112,0,0,0.780535042285919,0.890756302521008
"raw_lop050_2d","1015","Jorge Brito Hasbún",232,0.747379183769226,-0.0675258114933968,0,0,0.938240349292755,0.987068965517241
"raw_lop050_2d","1017","Álvaro Carter Fernández",249,-0.982547461986542,0.170445665717125,0,0,0.980021357536316,0.991967871485944
"raw_lop050_2d","1021","Andrés Celis Montt",235,-0.783490180969238,-0.274716824293137,0,0,0.891144275665283,0.953191489361702
"raw_lop050_2d","1025","Catalina Del Real Mihovilovic",222,-0.979887306690216,0.172218754887581,0,0,0.978181183338165,0.990990990990991
