"spec_id","diputado_id","diputado_nombre","dimension_1_aligned","dimension_2_aligned","dimension_2_predicted_by_quadratic","dimension_2_residual_after_quadratic","modal_party","modal_caucus","modal_alignment"
"raw_lop025_2d","1175","Cristián Tapia Ramos",0.328374922275543,-0.142319470643997,-0.0135938448504423,-0.128725625793555,"Independientes","Partido Por la Democracia e Independientes","oposicion"
"raw_lop025_2d","1176","Hotuiti Teao Drago",-0.805324971675873,0.00971344113349915,-0.019935444535038,0.0296488856685371,"Independientes","Unión Demócrata Independiente","oficialismo"
"raw_lop025_2d","1177","Carolina Tello Rojas",0.759190440177917,0.006430275272578,0.112146583422038,-0.10571630814946,"Frente Amplio","Frente Amplio","oposicion"
"raw_lop025_2d","1178","Héctor Ulloa Aguilera",0.357114404439926,-0.0799247398972511,-0.00732016306542038,-0.0726045768318307,"Independientes","Partido Por la Democracia e Independientes","oposicion"
"raw_lop025_2d","1180","Consuelo Veloso Ávila",0.731102645397186,-0.0258744861930609,0.10187890781404,-0.127753394007101,"Frente Amplio","Frente Amplio","oposicion"
"raw_lop025_2d","1181","Nelson Venegas Salazar",0.630893766880035,-0.0678210556507111,0.0675993561511051,-0.135420411801816,"Partido Socialista","Socialista, Liberal, Radical e Independientes","oposicion"
"raw_lop025_2d","1182","Sebastián Videla Castillo",0.289221972227097,-0.348862648010254,-0.021654342492451,-0.327208305517803,"Independientes","Socialista, Liberal, Radical e Independientes","oposicion"
"raw_lop025_2d","1183","Flor Weisse Novoa",-0.801013112068176,-0.0888242721557617,-0.0208023859996333,-0.0680218861561284,"Unión Demócrata Independiente","Unión Demócrata Independiente","oficialismo"
"raw_lop025_2d","1184","Roberto Celedón Fernández",0.715396106243134,0.126486584544182,0.0962631434951985,0.0302234410489834,"Independientes","Frente Amplio","oposicion"
"raw_lop025_2d","1186","Ignacio Achurra Díaz",0.746186971664429,0.0540733672678471,0.107357190217299,-0.0532838229494522,"Frente Amplio","Frente Amplio","oposicion"
"raw_lop025_2d","1187","Carlo Arqueros Pizarro",-0.987167239189148,0.159689664840698,0.0228196592311372,0.136870005609561,"Partido Republicano","Comité Partido Republicano","oficialismo"
"raw_lop025_2d","1188","Marcos Barraza Gómez",0.91398948431015,0.4057377576828,0.173914622963636,0.231823134719164,"Partido Comunista","Comité Comunista e Independientes","oposicion"
"raw_lop025_2d","1189","Jaime Bassa Mercado",0.791270911693573,0.0945387557148933,0.124226997414546,-0.0296882416996525,"Frente Amplio","Frente Amplio","oposicion"
"raw_lop025_2d","1190","Enrique Bassaletti Riess",-0.987426102161407,0.158081620931625,0.022889149048274,0.135192471883351,"Independientes","Comité Partido Republicano","oficialismo"
"raw_lop025_2d","1191","Valentina Becerra Peña",-0.987673044204712,0.156531184911728,0.0229554616365451,0.133575723275183,"Partido Republicano","Comité Partido Republicano","oficialismo"
"raw_lop025_2d","1192","Lilian Betancurt Delgado",-0.109822735190392,0.993951141834259,-0.071810824169418,1.06576196600368,"Partido de la Gente","Comité Partido de la Gente","no_alineado"
